test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,8388608,1,1,0,0,0,705.847278,4832394320.000000,0,920.245151
ofs,1,1,0,1,4,8388608,1,1,1,0.120822,0.530654,0,0,1.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,2,0.025237,0.535059,0,0,2.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,4,0.027768,0.517283,0,0,4.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,8,0.015414,0.541129,0,0,8.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,16,0.014016,0.514982,0,0,16.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,32,0.014300,0.536882,0,0,32.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,64,0.009189,0.530817,0,0,64.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,128,0.008448,0.509678,0,0,128.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,256,0.009955,0.534654,0,0,256.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,512,0.009245,0.537817,0,0,512.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,1024,0.009524,0.529087,0,0,1024.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,2048,0.008017,0.525607,0,0,2048.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,4096,0.009032,0.506565,0,0,4096.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,8192,0.031844,0.747555,0,0,8192.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,16384,0.036530,1.262659,0,0,16384.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,32768,0.073536,1.989506,0,0,32768.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,65536,0.137638,3.561927,0,0,65536.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,131072,0.283015,6.258720,0,0,131072.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,262144,0.544172,11.525065,0,0,262144.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,524288,1.103582,20.379130,0,0,524288.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,1048576,1.974312,37.685754,0,0,1048576.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,2097152,3.850694,0,0,0,2097152.000000,920.245151
ofs,1,1,0,1,4,8388608,1,1,4194304,7.572653,0,0,0,4194304.000000,920.245151
