test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,1,1,64,1048576,1,1,0,0,0,92.896222,1105054800.000000,0,127.214732
ofs,1,1,1,1,64,1048576,1,1,1,0.033278,0.445348,0,0,1.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,2,0.013333,0.432995,0,0,2.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,4,0.011851,0.433455,0,0,4.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,8,0.009406,0.436117,0,0,8.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,16,0.011359,0.419696,0,0,16.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,32,0.010977,0.465941,0,0,32.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,64,0.011570,0.453100,0,0,64.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,128,0.008433,0.416201,0,0,128.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,256,0.009006,0.434978,0,0,256.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,512,0.010555,0.424868,0,0,512.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,1024,0.010470,0.419638,0,0,1024.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,2048,0.010725,0.432598,0,0,2048.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,4096,0.009771,0.437427,0,0,4096.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,8192,0.019877,0.652100,0,0,8192.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,16384,0.032141,1.033806,0,0,16384.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,32768,0.063505,1.774084,0,0,32768.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,65536,0.114656,2.903716,0,0,65536.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,131072,0.195247,4.900498,0,0,131072.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,262144,0.334167,0,0,0,262144.000000,127.214732
ofs,1,1,1,1,64,1048576,1,1,524288,0.585334,0,0,0,524288.000000,127.214732
