test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,8388608,1,1,0,0,0,719.269272,4832394320.000000,0,936.941153
ofs,1,1,0,1,4,8388608,1,1,1,0.139255,0.544123,0,0,1.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,2,0.028810,0.496129,0,0,2.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,4,0.022477,0.512217,0,0,4.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,8,0.020416,0.526868,0,0,8.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,16,0.011449,0.518759,0,0,16.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,32,0.013395,0.555749,0,0,32.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,64,0.013505,0.517763,0,0,64.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,128,0.016796,0.515611,0,0,128.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,256,0.010950,0.520167,0,0,256.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,512,0.012492,0.516133,0,0,512.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,1024,0.015022,0.539786,0,0,1024.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,2048,0.011567,0.529830,0,0,2048.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,4096,0.012594,0.538389,0,0,4096.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,8192,0.019271,0.759565,0,0,8192.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,16384,0.044898,1.244623,0,0,16384.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,32768,0.075829,2.111347,0,0,32768.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,65536,0.148342,3.693755,0,0,65536.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,131072,0.278260,6.316889,0,0,131072.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,262144,0.536751,11.376150,0,0,262144.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,524288,1.021715,20.870114,0,0,524288.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,1048576,2.081115,37.762127,0,0,1048576.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,2097152,3.937959,0,0,0,2097152.000000,936.941153
ofs,1,1,0,1,4,8388608,1,1,4194304,7.828729,0,0,0,4194304.000000,936.941153
