test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,4,8388608,24,1,0,0,0,0,0,0,3472.521999,2281701104.000000,0,17189.472130
osm,0,0,1,1,4,8388608,24,1,1,0.000001,0.000000,5.859355,118592.000000,29647.000000,0,0,1.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,2,0.000003,0.000000,5.452398,117504.000000,29374.000000,0,0,2.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,4,0.002734,0.000000,6.023407,120224.000000,30052.000000,0,0,4.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,8,0.000012,0.000000,5.919415,132464.000000,33108.000000,0,0,8.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,16,0.000024,0.000000,6.421316,164832.000000,41192.000000,0,0,16.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,32,0.000052,0.000000,6.922757,232832.000000,58176.000000,0,0,32.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,64,0.000116,0.000000,7.946957,363664.000000,90852.000000,0,0,64.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,128,0.000252,0.000000,9.929904,616080.000000,153892.000000,0,0,128.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,256,0.000573,0.000000,13.298648,1090720.000000,272424.000000,0,0,256.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,512,0.001308,0.000000,20.471736,2008448.000000,501600.000000,0,0,512.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,1024,0.003073,0.000000,31.486229,3703552.000000,924864.000000,0,0,1024.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,2048,0.007345,0.000000,51.105727,6792112.000000,1695980.000000,0,0,2048.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,4096,0.018442,0.000000,83.508918,12401840.000000,3096364.000000,0,0,4096.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,8192,0.043003,0.000000,133.453787,22533296.000000,5625132.000000,0,0,8192.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,16384,0.097647,0.000000,228.816187,40600080.000000,10133636.000000,0,0,16384.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,32768,0.222941,0.000000,335.248092,72289984.000000,18039728.000000,0,0,32768.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,65536,0.517836,0.000000,467.538098,126791440.000000,31632324.000000,0,0,65536.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,131072,1.190534,0.000000,669.879533,218358608.000000,54458580.000000,0,0,131072.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,262144,2.759890,0.000000,1005.150098,366413648.000000,91341268.000000,0,0,262144.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,524288,6.415457,0.000000,1598.648340,594841152.000000,148186000.000000,0,0,524288.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,1048576,15.239805,0.000000,2450.408484,921560208.000000,229341476.000000,0,0,1048576.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,2097152,37.758767,0.000000,0,0,0,0,0,2097152.000000,17189.472130
osm,0,0,1,1,4,8388608,24,1,4194304,105.929946,0.000000,0,0,0,0,0,4194304.000000,17189.472130
