test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,128,1048576,21,1,0,0,0,0,0,0,41.706767,805305600.000000,0,539.103132
osm,1,1,0,1,128,1048576,21,1,1,0.000002,0.000000,0.251654,243456.000000,1901.000000,0,0,1.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,2,0.001498,0.000000,0.293663,248064.000000,1936.000000,0,0,2.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,4,0.000006,0.000000,0.267762,252672.000000,1970.000000,0,0,4.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,8,0.000013,0.000000,0.272231,274944.000000,2140.000000,0,0,8.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,16,0.000029,0.000000,0.292864,354048.000000,2750.000000,0,0,16.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,32,0.000078,0.000000,0.315409,506112.000000,3922.000000,0,0,32.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,64,0.000142,0.000000,0.372861,830976.000000,6428.000000,0,0,64.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,128,0.000302,0.000000,0.474166,1419264.000000,10960.000000,0,0,128.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,256,0.000693,0.000000,0.674938,2471424.000000,19052.000000,0,0,256.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,512,0.001602,0.000000,1.067001,4437504.000000,34156.000000,0,0,512.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,1024,0.003756,0.000000,1.821504,8008704.000000,61544.000000,0,0,1024.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,2048,0.008939,0.000000,3.025100,14405376.000000,110494.000000,0,0,2048.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,4096,0.020881,0.000000,5.185854,25574400.000000,195704.000000,0,0,4096.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,8192,0.049978,0.000000,9.423117,44894976.000000,342550.000000,0,0,8192.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,16384,0.121144,0.000000,16.378620,77353728.000000,587942.000000,0,0,16384.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,32768,0.276102,0.000000,27.706346,129389568.000000,978088.000000,0,0,32768.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,65536,0.640236,0.000000,44.601506,210019584.000000,1575242.000000,0,0,65536.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,131072,1.414752,0.000000,69.898456,325243392.000000,2409892.000000,0,0,131072.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,262144,3.344867,0.000000,0,0,0,0,0,262144.000000,539.103132
osm,1,1,0,1,128,1048576,21,1,524288,8.197742,0.000000,0,0,0,0,0,524288.000000,539.103132
