test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,1048576,1,1,0,0,0,93.831058,1645788240.000000,0,326.717263
ofs,1,1,0,1,128,1048576,1,1,1,0.032395,0.438092,0,0,1.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,2,0.012139,0.436996,0,0,2.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,4,0.011219,0.433592,0,0,4.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,8,0.013086,0.434566,0,0,8.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,16,0.011363,0.431555,0,0,16.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,32,0.013154,0.423705,0,0,32.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,64,0.009690,0.427381,0,0,64.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,128,0.010722,0.437927,0,0,128.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,256,0.009293,0.450262,0,0,256.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,512,0.020522,0.679845,0,0,512.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,1024,0.037315,1.045563,0,0,1024.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,2048,0.082206,1.712631,0,0,2048.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,4096,0.163108,2.905707,0,0,4096.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,8192,0.302227,5.039334,0,0,8192.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,16384,0.605512,8.672118,0,0,16384.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,32768,1.209395,15.157187,0,0,32768.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,65536,2.486450,26.105640,0,0,65536.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,131072,4.761918,44.297623,0,0,131072.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,262144,9.561851,0,0,0,262144.000000,326.717263
ofs,1,1,0,1,128,1048576,1,1,524288,18.294122,0,0,0,524288.000000,326.717263
