test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,1,1,128,1048576,1,1,0,0,0,94.515048,1639828560.000000,0,134.325092
ofs,1,1,1,1,128,1048576,1,1,1,0.049628,0.509534,0,0,1.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,2,0.023147,0.528870,0,0,2.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,4,0.025733,0.521704,0,0,4.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,8,0.016430,0.527311,0,0,8.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,16,0.017711,0.501879,0,0,16.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,32,0.018930,0.495362,0,0,32.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,64,0.018434,0.478882,0,0,64.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,128,0.017796,0.516533,0,0,128.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,256,0.014053,0.515595,0,0,256.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,512,0.015783,0.538046,0,0,512.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,1024,0.015351,0.514795,0,0,1024.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,2048,0.013343,0.507505,0,0,2048.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,4096,0.013713,0.514942,0,0,4096.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,8192,0.027384,0.783775,0,0,8192.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,16384,0.055195,1.219278,0,0,16384.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,32768,0.090867,2.092250,0,0,32768.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,65536,0.138451,3.560143,0,0,65536.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,131072,0.327482,6.094501,0,0,131072.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,262144,0.495847,0,0,0,262144.000000,134.325092
ofs,1,1,1,1,128,1048576,1,1,524288,0.762441,0,0,0,524288.000000,134.325092
