test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,128,1048576,21,1,0,0,0,0,0,0,315.649316,805305600.000000,0,1992.343572
osm,0,0,1,1,128,1048576,21,1,1,0.000002,0.000000,4.247487,241152.000000,1883.000000,0,0,1.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,2,0.002476,0.000000,4.022426,238848.000000,1864.000000,0,0,2.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,4,0.000006,0.000000,4.056302,258048.000000,2012.000000,0,0,4.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,8,0.000013,0.000000,4.379418,289536.000000,2254.000000,0,0,8.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,16,0.000029,0.000000,4.531686,363264.000000,2822.000000,0,0,16.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,32,0.000063,0.000000,4.760851,519168.000000,4024.000000,0,0,32.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,64,0.000139,0.000000,5.494905,807168.000000,6242.000000,0,0,64.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,128,0.000295,0.000000,7.519133,1390080.000000,10732.000000,0,0,128.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,256,0.000701,0.000000,9.850678,2489088.000000,19190.000000,0,0,256.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,512,0.001596,0.000000,14.032728,4443648.000000,34204.000000,0,0,512.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,1024,0.003760,0.000000,22.160614,8030976.000000,61718.000000,0,0,1024.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,2048,0.008709,0.000000,34.549479,14377728.000000,110278.000000,0,0,2048.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,4096,0.020353,0.000000,53.797242,25617408.000000,196040.000000,0,0,4096.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,8192,0.047446,0.000000,80.483833,44819712.000000,341962.000000,0,0,8192.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,16384,0.110968,0.000000,114.736350,77297664.000000,587504.000000,0,0,16384.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,32768,0.253041,0.000000,150.594678,129322752.000000,977566.000000,0,0,32768.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,65536,0.583826,0.000000,192.974859,210310656.000000,1577516.000000,0,0,65536.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,131072,1.393110,0.000000,278.119876,325047552.000000,2408362.000000,0,0,131072.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,262144,3.254008,0.000000,0,0,0,0,0,262144.000000,1992.343572
osm,0,0,1,1,128,1048576,21,1,524288,8.322511,0.000000,0,0,0,0,0,524288.000000,1992.343572
