test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,0,0,0,1,128,2048,3,2,0,0,0,0,0,0.203900,3320400.000000,0,0.718373
ofs-update,0,0,0,1,128,2048,3,2,16,0.139718,1506048.000000,0.161035,1010720.000000,0,0,16.000000,0.718373
ofs-update,0,0,0,1,128,2048,3,2,128,0.055156,851488.000000,0.050315,546944.000000,0,0,128.000000,0.718373
ofs-update,0,0,0,1,128,2048,3,2,1024,0.052580,840928.000000,0.053131,852448.000000,0,0,1024.000000,0.718373
ofs-update,0,0,0,1,128,16384,3,2,0,0,0,0,0,1.390828,26146896.000000,0,2.569887
ofs-update,0,0,0,1,128,16384,3,2,16,0.351269,2750400.000000,0.179927,1268320.000000,0,0,16.000000,2.569887
ofs-update,0,0,0,1,128,16384,3,2,128,0.099427,5207296.000000,0.099375,2839808.000000,0,0,128.000000,2.569887
ofs-update,0,0,0,1,128,16384,3,2,1024,0.103378,5196256.000000,0.127654,5202016.000000,0,0,1024.000000,2.569887
ofs-update,0,0,0,1,128,16384,3,2,4096,0.100574,5186176.000000,0.114572,5198176.000000,0,0,4096.000000,2.569887
ofs-update,0,0,0,1,128,131072,3,2,0,0,0,0,0,10.433502,347793024.000000,0,13.428192
ofs-update,0,0,0,1,128,131072,3,2,16,0.367374,3703776.000000,0.267231,2294208.000000,0,0,16.000000,13.428192
ofs-update,0,0,0,1,128,131072,3,2,128,0.398769,55105920.000000,0.276313,27948480.000000,0,0,128.000000,13.428192
ofs-update,0,0,0,1,128,131072,3,2,1024,0.434671,55103520.000000,0.281723,27944640.000000,0,0,1024.000000,13.428192
ofs-update,0,0,0,1,128,131072,3,2,4096,0.529627,73947200.000000,0.435271,55120320.000000,0,0,4096.000000,13.428192
ofs-update,0,0,0,1,128,1048576,3,2,0,0,0,0,0,78.497300,2783695488.000000,0,85.015152
ofs-update,0,0,0,1,128,1048576,3,2,16,0.559090,6928288.000000,0.537228,4148864.000000,0,0,16.000000,85.015152
ofs-update,0,0,0,1,128,1048576,3,2,128,0.965894,132122976.000000,0.609305,7128928.000000,0,0,128.000000,85.015152
ofs-update,0,0,0,1,128,1048576,3,2,1024,1.231937,251942656.000000,0.748450,126575168.000000,0,0,1024.000000,85.015152
ofs-update,0,0,0,1,128,1048576,3,2,4096,1.163147,251953696.000000,0.698204,126549728.000000,0,0,4096.000000,85.015152
ofs-update,0,0,0,1,128,8388608,3,2,0,0,0,0,0,942.785250,22274878080.000000,0,961.468240
ofs-update,0,0,0,1,128,8388608,3,2,16,0.713044,13060960.000000,0.605752,7488320.000000,0,0,16.000000,961.468240
