test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,8388608,2,1,0,0,0,0.0,0,0,850.950377,13153008720.000000,0,1078.727201
ofs,1,1,0,1,128,8388608,2,1,1,0.855736,56168160.000000,0.8279013201057862,110596320.000000,864032.000000,0,0,1.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,2,0.826400,56191680.000000,0.7701750433281394,110602560.000000,864080.000000,0,0,2.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,4,0.788222,56178720.000000,0.7866773401104763,110601120.000000,864067.000000,0,0,4.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,8,0.764936,56160480.000000,0.7572113358898412,110584320.000000,863932.000000,0,0,8.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,16,0.730037,56187360.000000,0.867326581757344,110591520.000000,863980.000000,0,0,16.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,32,0.764741,56174400.000000,0.8106200975021924,110572800.000000,863818.000000,0,0,32.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,64,0.824529,56171520.000000,0.9206365592280448,110585760.000000,863887.000000,0,0,64.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,128,0.797097,56176320.000000,0.840496249771761,110571360.000000,863710.000000,0,0,128.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,256,0.795571,56184960.000000,0.8206721796888835,110603040.000000,863830.000000,0,0,256.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,512,0.779374,56163360.000000,0.8314220803258138,110563200.000000,863263.000000,0,0,512.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,1024,0.793409,56190720.000000,0.8647226187340746,110576640.000000,862856.000000,0,0,1024.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,2048,0.753984,56185920.000000,0.8232135941270161,110597760.000000,861997.000000,0,0,2048.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,4096,6.584417,1209544064.000000,7.957686596425923,2417509408.000000,18882696.000000,0,0,4096.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,8192,9.383799,2417491648.000000,7.670470802380545,2417488768.000000,18878439.000000,0,0,8192.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,16384,9.574964,2417486848.000000,7.461499124423309,2417506048.000000,18870382.000000,0,0,16384.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,32768,9.452500,2417503648.000000,7.307282372980334,2417503648.000000,18853979.000000,0,0,32768.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,65536,9.532229,2417506528.000000,7.519375797907048,2417493568.000000,18821132.000000,0,0,65536.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,131072,9.429317,2417479168.000000,7.917421530707162,2417512288.000000,18755742.000000,0,0,131072.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,262144,9.584027,2417498368.000000,8.12561860202201,2417501728.000000,18624588.000000,0,0,262144.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,524288,9.411552,2417491168.000000,7.557183081096558,2417505088.000000,18362470.000000,0,0,524288.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,1048576,9.379532,2417502208.000000,8.035779973525656,2417491648.000000,17838077.000000,0,0,1048576.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,2097152,10.577722,2417498368.000000,8.129151516573586,2417485408.000000,16789452.000000,0,0,2097152.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1,4194304,9.906185,2417503168.000000,7.4367579917761315,2417503648.000000,14692443.000000,0,0,4194304.000000,1078.727201
ofs,1,1,0,1,128,8388608,2,1024,0,0,0,0.0,0,0,695.571324,13153008720.000000,0,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,1,0.689491,56172480.000000,0.9447953895036071,110589600.000000,863980.000000,0,0,1.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,2,0.709970,56174880.000000,0.8667777308926886,110593440.000000,864009.000000,0,0,2.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,4,0.645905,56193120.000000,0.9297194982364828,110601120.000000,864067.000000,0,0,4.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,8,0.625403,56183040.000000,0.8262063305868941,110584320.000000,863932.000000,0,0,8.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,16,0.635258,56169600.000000,0.8504097801592674,110567040.000000,863789.000000,0,0,16.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,32,0.636381,56178720.000000,0.8281650900643576,110604480.000000,864065.000000,0,0,32.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,64,0.677118,56157600.000000,0.7876457217061803,110580000.000000,863842.000000,0,0,64.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,128,0.634412,56196000.000000,0.8483981298904559,110585280.000000,863819.000000,0,0,128.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,256,0.637720,56179680.000000,0.7861323865798636,110588640.000000,863717.000000,0,0,256.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,512,0.639004,56187840.000000,0.8270700322075712,110620800.000000,863713.000000,0,0,512.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,1024,0.641816,56196480.000000,0.8720799747481885,110566080.000000,862773.000000,0,0,1024.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,2048,0.643217,56160000.000000,0.9106563792718616,110603040.000000,862038.000000,0,0,2048.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,4096,0.958530,110758080.000000,1.3713612714580592,219625920.000000,1711731.000000,0,0,4096.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,8192,1.595352,219935520.000000,2.4796755185355615,437662560.000000,3411046.000000,0,0,8192.000000,2877.081197
ofs,1,1,0,1,128,8388608,2,1024,16384,2.946736,438362400.000000,4.616907572229885,873792480.000000,6810119.000000,0,0,16384.000000,2877.081197
