test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,0,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,41028.915625,3623878224000.000000,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1,0.148061,14236819.200000,0,0.267505,27069120.000000,26433.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2,0,0,0,0.267175,27077760.000000,26442.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4,0,0,0,0.287727,27630720.000000,26982.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,8,0,0,0,0.274460,28512000.000000,27842.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,16,0,0,0,0.294335,30637440.000000,29918.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,32,0,0,0,0.514933,34283520.000000,33479.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,64,0,0,0,0.440188,41757120.000000,40777.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,128,0,0,0,0.555406,56574720.000000,55247.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,256,0,0,0,0.831750,83773440.000000,81809.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,512,0,0,0,1.444342,135864000.000000,132678.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1024,0,0,0,2.536853,232614720.000000,227161.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2048,0,0,0,4.793978,409682880.000000,400079.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4096,0,0,0,8.715795,730650240.000000,713524.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,8192,0,0,0,15.466515,1300708800.000000,1270222.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,16384,0,0,0,28.680675,2310638400.000000,2256481.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,32768,0,0,0,51.797770,4040988480.000000,3946276.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,65536,0,0,0,92.500701,6943795200.000000,6781049.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,131072,0,0,0,192.859883,11653822080.000000,11380684.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,262144,0,0,0,408.219917,18894193920.000000,18451360.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,524288,0,0,0,721.942803,29274600960.000000,28588476.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,1048576,0,0,0,980.542577,42533415360.000000,41536537.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,2097152,0,0,0,1284.665199,56524927680.000000,55200123.000000,0,0,5880.342414
omap,0,0,0,1,1024,8388608,24,1,4194304,0,0,0,1657.343729,67235754240.000000,65659915.000000,0,0,5880.342414
omap,0,0,0,1,128,2,2,1,0,0.000553,2220.720000,0.000000,0.000713,2256.000000,16.000000,0.005012,736.000000,0.132904
omap,0,0,0,1,128,1024,11,1,0,0.021219,304527.360000,0.000000,0.021186,304512.640000,2377.760000,0.050088,752928.000000,4.291825
omap,0,0,0,1,128,2048,12,1,0,0.025996,391625.600000,0.000000,0.025988,391699.200000,3058.870000,0.093345,1506592.000000,5.293153
omap,0,0,0,1,128,4096,13,1,0,0.031516,490087.680000,0.000000,0.031440,492766.720000,3848.480000,0.167691,3013920.000000,6.464562
omap,0,0,0,1,128,8192,14,1,0,0.038096,613397.120000,0.000000,0.037384,609511.040000,4760.550000,0.314307,6028576.000000,7.863639
omap,0,0,0,1,128,16384,15,1,0,0.044716,733674.240000,0.000000,0.044440,736147.200000,5749.900000,0.622302,12057888.000000,9.539222
omap,0,0,0,1,128,32768,16,1,0,0.054525,868700.800000,0.000000,0.051480,868141.440000,6781.110000,1.305157,24116512.000000,11.907091
omap,0,0,0,1,128,65536,17,1,0,0.061525,1031886.720000,0.000000,0.057193,1025822.080000,8013.010000,2.439171,48233760.000000,14.312377
omap,0,0,0,1,128,131072,18,1,0,0.066912,1186299.520000,0.000000,0.069626,1188154.240000,9281.210000,4.829236,96468256.000000,18.484438
omap,0,0,0,1,128,262144,19,1,0,0.072690,1359200.640000,0.000000,0.079361,1362203.520000,10640.920000,9.330532,192937248.000000,24.537095
omap,0,0,0,1,128,524288,20,1,0,0.085426,1557169.920000,0.000000,0.102641,1553843.200000,12138.130000,18.002184,385875232.000000,36.810366
omap,0,0,0,1,128,4,3,1,0,0.000941,5718.000000,0.000000,0.001207,5904.000000,45.000000,0.005173,2208.000000,0.221482
omap,0,0,0,1,128,1048576,21,1,0,0.094215,1748220.800000,0.000000,0.093414,1749722.240000,13668.500000,36.994983,771751200.000000,55.759235
omap,0,0,0,1,128,2097152,22,1,0,0.109106,1953947.520000,0.000000,0.102665,1952666.880000,15254.010000,71.119995,1543503136.000000,92.298558
omap,0,0,0,1,128,4194304,23,1,0,0.113050,2192720.640000,0.000000,0.115928,2197004.160000,17162.800000,143.116034,3087007008.000000,166.015451
omap,0,0,0,1,128,8388608,24,1,0,0,0,0.000000,0,0,0,29093.747334,617401475200.000000,4784.885756
omap,0,0,0,1,128,8388608,24,1,1,0.122538,2425105.280000,0,0.227312,4573504.000000,35729.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,2,0,0,0,0.233718,4639744.000000,36247.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,4,0,0,0,0.238445,4739840.000000,37029.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,8,0,0,0,0.242947,4862016.000000,37983.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,16,0,0,0,0.267966,5222656.000000,40801.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,32,0,0,0,0.298394,5848256.000000,45688.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,64,0,0,0,0.366394,7112704.000000,55567.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,128,0,0,0,0.476752,9568000.000000,74749.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,256,0,0,0,0.704007,14256320.000000,111376.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,512,0,0,0,1.196690,23088320.000000,180376.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,1024,0,0,0,2.040904,39552640.000000,309004.000000,0,0,4784.885756
omap,0,0,0,1,128,8388608,24,1,2048,0,0,0,3.729428,69920000.000000,546249.000000,0,0,4784.885756
