test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,0,1,128,8388608,3,2,0,0,0,0,0,0,949.212330,22274878080.000000,0,1239.238416
ofs,0,0,0,1,128,8388608,3,2,1,0.671642,7514240.000000,0.739237,13082080.000000,102202.000000,0,0,1.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,2,0.539332,7496480.000000,0.710672,13097920.000000,102325.000000,0,0,2.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,4,0.516597,7504160.000000,0.733228,13054720.000000,101986.000000,0,0,4.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,8,0.503707,7510880.000000,0.753164,13102240.000000,102353.000000,0,0,8.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,16,0.484335,7509440.000000,0.750596,13104640.000000,102364.000000,0,0,16.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,32,0.458459,7495040.000000,3.275431,13078240.000000,102141.000000,0,0,32.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,64,0.499040,7516160.000000,0.741792,13092640.000000,102222.000000,0,0,64.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,128,0.502184,7506080.000000,0.705780,13074880.000000,102019.000000,0,0,128.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,256,0.743591,13408000.000000,1.200549,24611840.000000,192024.000000,0,0,256.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,512,2.689305,572914720.000000,5.088624,1144162880.000000,8938260.000000,0,0,512.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,1024,2.701056,572902240.000000,4.947312,1144163360.000000,8937752.000000,0,0,1024.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,2048,2.626928,572912800.000000,4.658674,1144171520.000000,8936792.000000,0,0,2048.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,4096,2.685761,572900800.000000,5.772982,1144167200.000000,8934710.000000,0,0,4096.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,8192,2.700616,572892160.000000,5.351173,1144171520.000000,8930648.000000,0,0,8192.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,16384,2.681014,572891680.000000,5.071154,1144188800.000000,8922591.000000,0,0,16384.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,32768,2.666531,572914720.000000,4.909651,1144194560.000000,8906252.000000,0,0,32768.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,65536,5.132234,1144233440.000000,9.583207,2286761920.000000,17799791.000000,0,0,65536.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,131072,11.622550,1209542624.000000,17.410579,2417493088.000000,18755592.000000,0,0,131072.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,262144,17.093460,2417496448.000000,17.393817,2417496928.000000,18624550.000000,0,0,262144.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,524288,18.101040,2417491648.000000,16.954815,2417501248.000000,18362440.000000,0,0,524288.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,1048576,17.264907,2417505568.000000,17.478658,2417505088.000000,17838182.000000,0,0,1048576.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,2097152,17.092169,2417493568.000000,18.753836,2417500288.000000,16789569.000000,0,0,2097152.000000,1239.238416
ofs,0,0,0,1,128,8388608,3,2,4194304,17.727655,2417493568.000000,19.278579,2417505088.000000,14692454.000000,0,0,4194304.000000,1239.238416
