test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,1,0,1,128,8388608,24,1,0,0,0,0.000000,0,0,0,38626.177577,617401475200.000000,5089.616902
omap,0,1,0,1,128,8388608,24,1,1,0.122978,2425193.600000,0,0.234859,4561728.000000,35637.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,2,0,0,0,0.232843,4604416.000000,35971.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,4,0,0,0,0.231956,4758976.000000,37178.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,8,0,0,0,0.242688,4842880.000000,37834.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,16,0,0,0,0.255467,5187328.000000,40525.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,32,0,0,0,0.283054,5882112.000000,45953.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,64,0,0,0,0.364647,7162752.000000,55958.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,128,0,0,0,0.527355,9591552.000000,74933.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,256,0,0,0,0.737746,14246016.000000,111296.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,512,0,0,0,1.303522,23203136.000000,181273.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,1024,0,0,0,2.282396,39679232.000000,309993.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,2048,0,0,0,4.136993,69875840.000000,545904.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,4096,0,0,0,7.584640,124565056.000000,973163.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,8192,0,0,0,14.059337,221979072.000000,1734210.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,16384,0,0,0,25.886627,393221248.000000,3072040.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,32768,0,0,0,48.400182,688232128.000000,5376812.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,65536,0,0,0,87.413543,1183652864.000000,9247287.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,131072,0,0,0,157.447543,1985491008.000000,15511647.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,262144,0,0,0,280.048441,3223339968.000000,25182342.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,524288,0,0,0,473.940645,4987446592.000000,38964425.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,1048576,0,0,0,795.159453,7243419072.000000,56589210.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,2097152,0,0,0,1205.467584,9629751872.000000,75232435.000000,0,0,5089.616902
omap,0,1,0,1,128,8388608,24,1,4194304,0,0,0,1584.812128,11453667328.000000,89481775.000000,0,0,5089.616902
