test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,32,8388608,3,16,0,0,0,0,0,0,664.185368,9415240320.000000,0,805.053564
ofs,0,1,0,1,32,8388608,3,16,1,0.563891,4356992.000000,0.738754,6793504.000000,212296.000000,0,0,1.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,2,0.509741,4372352.000000,0.683553,6778624.000000,211830.000000,0,0,2.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,4,0.507657,4382432.000000,0.656819,6764224.000000,211378.000000,0,0,4.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,8,0.489248,4344992.000000,0.671320,6779104.000000,211839.000000,0,0,8.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,16,0.485497,4365152.000000,0.671911,6810784.000000,212821.000000,0,0,16.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,32,0.483146,4366112.000000,0.664130,6768544.000000,211485.000000,0,0,32.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,64,0.488509,4358432.000000,0.650477,6793984.000000,212248.000000,0,0,64.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,128,0.496390,4346432.000000,1.093810,6786784.000000,211959.000000,0,0,128.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,256,0.746637,7116544.000000,1.114976,12030368.000000,375693.000000,0,0,256.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,512,1.198305,12667328.000000,1.966004,22455136.000000,701211.000000,0,0,512.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,1024,2.215547,23813056.000000,3.694228,43297472.000000,1352022.000000,0,0,1024.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,2048,4.207137,46004672.000000,7.231756,84968224.000000,2653209.000000,0,0,2048.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,4096,0.932821,170280736.000000,1.698013,338858432.000000,10585230.000000,0,0,4096.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,8192,0.968365,170238496.000000,1.581035,338868512.000000,10581449.000000,0,0,8192.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,16384,0.984640,170248576.000000,1.518109,338847872.000000,10572612.000000,0,0,16384.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,32768,0.946474,170240416.000000,1.532087,338854592.000000,10556438.000000,0,0,32768.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,65536,1.702142,338900192.000000,2.790277,676151584.000000,21064201.000000,0,0,65536.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,131072,3.142435,676246144.000000,5.376780,1350747968.000000,42079802.000000,0,0,131072.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,262144,6.104722,1350940928.000000,9.975542,2699816896.000000,84107134.000000,0,0,262144.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,524288,11.694595,2700247456.000000,20.217030,5398063232.000000,168165188.000000,0,0,524288.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,1048576,4.235848,404215616.000000,6.172964,806894752.000000,24166885.000000,0,0,1048576.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,2097152,7.816685,806884672.000000,6.268815,806889472.000000,23118144.000000,0,0,2097152.000000,805.053564
ofs,0,1,0,1,32,8388608,3,16,4194304,6.295002,806884192.000000,6.380154,806874592.000000,21020527.000000,0,0,4194304.000000,805.053564
