test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,1,1,0,1,128,8388608,24,1,0,0,0,0.000000,0,0,0,39279.403112,617401475200.000000,5497.832454
omap,1,1,0,1,128,8388608,24,1,1,0.207096,2424148.480000,0,0.396243,4617664.000000,36074.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,2,0,0,0,0.392315,4650048.000000,36327.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,4,0,0,0,0.403172,4728064.000000,36937.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,8,0,0,0,0.433311,4892928.000000,38225.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,16,0,0,0,0.461393,5202048.000000,40640.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,32,0,0,0,0.483620,5911552.000000,46183.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,64,0,0,0,0.658348,7123008.000000,55647.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,128,0,0,0,0.860918,9587136.000000,74898.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,256,0,0,0,1.304599,14212160.000000,111031.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,512,0,0,0,2.038177,23234048.000000,181515.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,1024,0,0,0,3.478888,39713088.000000,310257.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,2048,0,0,0,6.091001,69934720.000000,546364.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,4096,0,0,0,10.772848,124364864.000000,971599.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,8192,0,0,0,19.275172,221742080.000000,1732359.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,16384,0,0,0,33.790227,393364032.000000,3073155.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,32768,0,0,0,60.490186,689458304.000000,5386392.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,65536,0,0,0,106.067971,1184456576.000000,9253566.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,131072,0,0,0,190.791949,1984460608.000000,15503597.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,262144,0,0,0,328.880182,3219227200.000000,25150211.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,524288,0,0,0,537.940659,4988030976.000000,38968991.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,1048576,0,0,0,882.072300,7243575104.000000,56590429.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,2097152,0,0,0,1268.357883,9630417216.000000,75237633.000000,0,0,5497.832454
omap,1,1,0,1,128,8388608,24,1,4194304,0,0,0,1628.880637,11456340480.000000,89502659.000000,0,0,5497.832454
