test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,32,8388608,2,1,0,0,0,0,0,0,769.185572,6712130640.000000,0,861.397130
ofs,1,1,0,1,32,8388608,2,1,1,0.788989,18440064.000000,0.931495,35107488.000000,1097108.000000,0,0,1.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,2,0.701854,18412224.000000,0.869784,35107488.000000,1097107.000000,0,0,2.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,4,0.809146,18414624.000000,0.944526,35105568.000000,1097045.000000,0,0,4.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,8,0.824923,18429984.000000,0.955278,35096448.000000,1096756.000000,0,0,8.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,16,0.768079,18438144.000000,0.941283,35088768.000000,1096508.000000,0,0,16.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,32,0.756576,18390624.000000,0.990203,35112768.000000,1097242.000000,0,0,32.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,64,0.774372,18426624.000000,1.022701,35105568.000000,1096985.000000,0,0,64.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,128,0.765424,18417984.000000,1.013784,35098848.000000,1096711.000000,0,0,128.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,256,0.790449,18414144.000000,1.082716,35085888.000000,1096178.000000,0,0,256.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,512,0.754701,18432864.000000,1.053154,35131968.000000,1097362.000000,0,0,512.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,1024,0.784074,18405504.000000,1.068710,35142528.000000,1097180.000000,0,0,1024.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,2048,0.759490,18431424.000000,1.092172,35087808.000000,1094446.000000,0,0,2048.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,4096,2.207820,404254496.000000,4.149032,806875072.000000,25210750.000000,0,0,4096.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,8192,3.180619,806894752.000000,3.246293,806894272.000000,25207254.000000,0,0,8192.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,16384,3.181574,806891872.000000,3.321298,806874112.000000,25198432.000000,0,0,16384.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,32768,3.125510,806899552.000000,3.120387,806881792.000000,25182288.000000,0,0,32768.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,65536,3.182555,806872192.000000,3.122384,806881792.000000,25149520.000000,0,0,65536.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,131072,3.167305,806894752.000000,3.167627,806882272.000000,25083999.000000,0,0,131072.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,262144,3.266705,806883232.000000,3.199611,806888032.000000,24953107.000000,0,0,262144.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,524288,3.121199,806883232.000000,3.414165,806884192.000000,24690843.000000,0,0,524288.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,1048576,3.091756,806882752.000000,3.197184,806890432.000000,24166750.000000,0,0,1048576.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,2097152,3.170611,806898592.000000,3.424535,806887072.000000,23118069.000000,0,0,2097152.000000,861.397130
ofs,1,1,0,1,32,8388608,2,1,4194304,3.125509,806883712.000000,3.306221,806896192.000000,21021202.000000,0,0,4194304.000000,861.397130
