test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,128,8388608,2,4,0,0,0,0,0,0,804.884554,13153008720.000000,0,1002.002839
ofs,0,0,1,1,128,8388608,2,4,1,0.788196,56181600.000000,1.137435,110606400.000000,864111.000000,0,0,1.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,2,0.738902,56197920.000000,1.020381,110604960.000000,864099.000000,0,0,2.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,4,0.729536,56158080.000000,1.055064,110604480.000000,864093.000000,0,0,4.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,8,0.732435,56166240.000000,0.988195,110617920.000000,864194.000000,0,0,8.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,16,0.735759,56149920.000000,0.990435,110602560.000000,864066.000000,0,0,16.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,32,0.721652,56208960.000000,1.074676,110599200.000000,864024.000000,0,0,32.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,64,0.779723,56150400.000000,0.992960,110605440.000000,864041.000000,0,0,64.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,128,0.779341,56160960.000000,0.919293,110601120.000000,863943.000000,0,0,128.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,256,0.706536,56186880.000000,0.911362,110578560.000000,863639.000000,0,0,256.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,512,0.779166,56164320.000000,0.950838,110613600.000000,863656.000000,0,0,512.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,1024,0.768060,56187360.000000,0.882049,110590080.000000,862961.000000,0,0,1024.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,2048,0.797243,56165280.000000,0.917590,110612640.000000,862113.000000,0,0,2048.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,4096,1.109220,110761920.000000,1.577701,219650400.000000,1711922.000000,0,0,4096.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,8192,1.753646,219916320.000000,2.829024,437636640.000000,3410844.000000,0,0,8192.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,16384,6.612750,1209547904.000000,9.503771,2417507488.000000,18870393.000000,0,0,16384.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,32768,9.835992,2417485408.000000,9.236182,2417514688.000000,18854065.000000,0,0,32768.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,65536,9.771732,2417497888.000000,9.545029,2417482048.000000,18821042.000000,0,0,65536.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,131072,9.853150,2417489728.000000,9.168820,2417495008.000000,18755607.000000,0,0,131072.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,262144,9.866614,2417507008.000000,9.156697,2417478208.000000,18624404.000000,0,0,262144.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,524288,9.582542,2417504128.000000,9.261422,2417495488.000000,18362395.000000,0,0,524288.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,1048576,9.462605,2417501248.000000,9.264214,2417507488.000000,17838201.000000,0,0,1048576.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,2097152,10.056253,2417499808.000000,9.309516,2417497888.000000,16789550.000000,0,0,2097152.000000,1002.002839
ofs,0,0,1,1,128,8388608,2,4,4194304,9.963434,2417500768.000000,9.438573,2417500288.000000,14692417.000000,0,0,4194304.000000,1002.002839
