test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,total_time
omap,0,1,1,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,41298.246999,3623878224000.000000,5668.646639
omap,0,1,1,1,1024,8388608,24,1,1,0.204741,14213232.000000,0,0.365196,27259200.000000,26619.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,2,0,0,0,0.377345,27207360.000000,26568.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,4,0,0,0,0.415341,27699840.000000,27049.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,8,0,0,0,0.397225,28797120.000000,28121.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,16,0,0,0,0.438737,30542400.000000,29825.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,32,0,0,0,0.502254,34395840.000000,33588.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,64,0,0,0,0.621169,41662080.000000,40684.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,128,0,0,0,0.835240,56168640.000000,54851.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,256,0,0,0,1.266166,84058560.000000,82087.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,512,0,0,0,2.094663,136157760.000000,132965.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,1024,0,0,0,3.442861,233046720.000000,227583.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,2048,0,0,0,6.054804,409389120.000000,399793.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,4096,0,0,0,11.046271,730900800.000000,713769.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,8192,0,0,0,19.776600,1302022080.000000,1271504.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,16384,0,0,0,35.269419,2312409600.000000,2258211.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,32768,0,0,0,61.257815,4041671040.000000,3946943.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,65536,0,0,0,107.207098,6942127680.000000,6779420.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,131072,0,0,0,193.588287,11644948800.000000,11372019.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,262144,0,0,0,344.210980,18899550720.000000,18456591.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,524288,0,0,0,593.383117,29278748160.000000,28592526.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,1048576,0,0,0,902.034788,42514312320.000000,41517882.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,2097152,0,0,0,1315.560846,56518058880.000000,55193415.000000,0,0,5668.646639
omap,0,1,1,1,1024,8388608,24,1,4194304,0,0,0,1635.039873,67234613760.000000,65658801.000000,0,0,5668.646639
