test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,128,8388608,24,1,0,0,0,0,0,0,2362.795017,88449468304.000000,0,2466.277327
ofs,0,1,1,1,128,8388608,24,1,1,0.440344,1822304.000000,0.468541,1861376.000000,14541.000000,0,0,1.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,2,0.427337,1857632.000000,0.455346,1894496.000000,14798.000000,0,0,2.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,4,0.427164,1880864.000000,0.429088,1954016.000000,15261.000000,0,0,4.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,8,0.390703,1967072.000000,0.415763,2133504.000000,16660.000000,0,0,8.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,16,0.398780,2100608.000000,0.400142,2416896.000000,18866.000000,0,0,16.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,32,0.392966,2385888.000000,0.403215,2991264.000000,23337.000000,0,0,32.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,64,0.397214,2910400.000000,0.412699,4036480.000000,31471.000000,0,0,64.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,128,0.334811,3886592.000000,0.421012,5980704.000000,46596.000000,0,0,128.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,256,0.356885,5712576.000000,0.442853,9664768.000000,75250.000000,0,0,256.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,512,0.402696,9152768.000000,0.436613,16482592.000000,128258.000000,0,0,512.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,1024,0.399959,15418336.000000,0.463046,29076288.000000,226134.000000,0,0,1024.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,2048,0.441785,26961600.000000,0.441771,52141600.000000,405308.000000,0,0,2048.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,4096,0.432606,47949120.000000,0.484405,94077472.000000,730884.000000,0,0,4096.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,8192,0.532608,85706240.000000,0.623828,169574304.000000,1316607.000000,0,0,8192.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,16384,0.602535,152792480.000000,0.783988,303784864.000000,2356935.000000,0,0,16384.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,32768,0.796767,270228320.000000,1.141813,538681568.000000,4175681.000000,0,0,32768.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,65536,1.123870,471556768.000000,1.760948,941323232.000000,7288551.000000,0,0,65536.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,131072,1.933645,807092064.000000,3.354175,1612423744.000000,12465988.000000,0,0,131072.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,262144,3.343191,1343967008.000000,6.271702,2686156224.000000,20723451.000000,0,0,262144.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,524288,6.442462,1209747712.000000,9.021604,2417710016.000000,18364071.000000,0,0,524288.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,1048576,9.277265,2417719264.000000,8.736316,2417687712.000000,17839609.000000,0,0,1048576.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,2097152,9.522666,2417704576.000000,8.769749,2417712192.000000,16791224.000000,0,0,2097152.000000,2466.277327
ofs,0,1,1,1,128,8388608,24,1,4194304,9.358518,2417719264.000000,8.944125,2417706752.000000,14694030.000000,0,0,4194304.000000,2466.277327
