test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,8388608,2,4096,0,0,0,0,0,0,793.028758,5643360896.000000,0,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,1,0.482015,4209984.000000,0.650435,6627648.000000,1656911.000000,0,0,1.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,2,0.490174,4235424.000000,0.666348,6618528.000000,1654630.000000,0,0,2.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,4,0.490883,4222464.000000,0.668966,6637728.000000,1659428.000000,0,0,4.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,8,0.477290,4209024.000000,0.652375,6647328.000000,1661824.000000,0,0,8.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,16,0.471155,4237344.000000,0.661972,6639168.000000,1659776.000000,0,0,16.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,32,0.478809,4211904.000000,0.666760,6658848.000000,1664680.000000,0,0,32.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,64,0.485344,4253184.000000,0.652617,6626688.000000,1656608.000000,0,0,64.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,128,0.476826,4257984.000000,0.668883,6624768.000000,1656064.000000,0,0,128.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,256,0.474190,4209504.000000,0.670336,6646848.000000,1661456.000000,0,0,256.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,512,0.471118,4243104.000000,0.651665,6613248.000000,1652800.000000,0,0,512.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,1024,0.697981,6882048.000000,1.060158,11683296.000000,2919800.000000,0,0,1024.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,2048,1.121457,12191616.000000,1.801036,21782592.000000,5443600.000000,0,0,2048.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,4096,2.093081,22757952.000000,3.377327,42052704.000000,10509080.000000,0,0,4096.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,8192,3.789916,43933824.000000,6.623542,82488768.000000,20614000.000000,0,0,8192.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,16384,7.463149,86335008.000000,12.998339,163390656.000000,40831280.000000,0,0,16384.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,32768,14.601331,171018336.000000,26.045412,325198752.000000,81266920.000000,0,0,32768.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,65536,28.875617,340464672.000000,52.053219,648763584.000000,162125360.000000,0,0,65536.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,131072,57.195426,682964144.000000,102.448030,1296456288.000000,323983000.000000,0,0,131072.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,262144,114.068062,1357113408.000000,206.797446,2590532256.000000,647370920.000000,0,0,262144.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,524288,228.859118,2713785696.000000,411.082916,5186854432.000000,1296189320.000000,0,0,524288.000000,3365.085380
ofs,1,1,0,1,4,8388608,2,4096,1048576,455.091414,5424801792.000000,822.499286,10364903584.000000,2590177320.000000,0,0,1048576.000000,3365.085380
