test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,1,0,1,128,4194304,23,1,0,0,0,0,0,0,1146.704637,3221224704.000000,0,7517.136548
osm,0,1,0,1,128,4194304,23,1,1,0.000001,0.000000,6.463828,299520.000000,2339.000000,0,0,1.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,2,0.003405,0.000000,6.534384,299520.000000,2338.000000,0,0,2.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,4,0.000006,0.000000,6.532488,308736.000000,2408.000000,0,0,4.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,8,0.000013,0.000000,6.647079,338688.000000,2638.000000,0,0,8.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,16,0.000028,0.000000,7.478221,430080.000000,3344.000000,0,0,16.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,32,0.000062,0.000000,8.733391,609792.000000,4732.000000,0,0,32.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,64,0.000129,0.000000,10.319055,940032.000000,7280.000000,0,0,64.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,128,0.000300,0.000000,11.231228,1637376.000000,12664.000000,0,0,128.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,256,0.000694,0.000000,14.848398,2896896.000000,22376.000000,0,0,256.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,512,0.001605,0.000000,22.594242,5280000.000000,40738.000000,0,0,512.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,1024,0.003784,0.000000,33.915981,9631488.000000,74222.000000,0,0,1024.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,2048,0.008847,0.000000,55.260641,17631744.000000,135700.000000,0,0,2048.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,4096,0.020474,0.000000,88.590674,31819008.000000,244490.000000,0,0,4096.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,8192,0.047676,0.000000,142.284234,57265920.000000,439198.000000,0,0,8192.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,16384,0.111380,0.000000,216.314330,102210048.000000,782132.000000,0,0,16384.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,32768,0.259612,0.000000,312.121472,179054592.000000,1366096.000000,0,0,32768.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,65536,0.595577,0.000000,429.182598,308408064.000000,2343902.000000,0,0,65536.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,131072,1.413083,0.000000,546.829376,517714176.000000,3913570.000000,0,0,131072.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,262144,3.785766,0.000000,714.476103,839151360.000000,6293726.000000,0,0,262144.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,524288,8.383697,0.000000,984.721983,1301636352.000000,9644746.000000,0,0,524288.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,1048576,20.297309,0.000000,0,0,0,0,0,1048576.000000,7517.136548
osm,0,1,0,1,128,4194304,23,1,2097152,51.858936,0.000000,0,0,0,0,0,2097152.000000,7517.136548
