Total memory usage: 81040220
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,128,4194304,1,1,0,0,0,1620.514129,6572686416.000000,0,1997.550523
ofs,0,1,0,1,128,4194304,1,1,1,0.237400,1.925112,0,0,1.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,2,0.031089,1.961037,0,0,2.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,4,0.028907,2.072078,0,0,4.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,8,0.024339,1.896628,0,0,8.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,16,0.028255,2.085415,0,0,16.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,32,0.030668,2.106184,0,0,32.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,64,0.028810,1.960228,0,0,64.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,128,0.023550,2.377978,0,0,128.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,256,0.028105,2.230381,0,0,256.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,512,0.021334,1.758864,0,0,512.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,1024,0.024730,2.197093,0,0,1024.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,2048,0.024890,1.985870,0,0,2048.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,4096,0.023102,2.158180,0,0,4096.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,8192,0.044004,3.516523,0,0,8192.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,16384,0.092736,5.424077,0,0,16384.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,32768,0.194392,9.118328,0,0,32768.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,65536,0.346267,14.950308,0,0,65536.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,131072,0.653944,25.365139,0,0,131072.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,262144,1.262398,42.197563,0,0,262144.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,524288,2.227081,68.912555,0,0,524288.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,1048576,4.126211,0,0,0,1048576.000000,1997.550523
ofs,0,1,0,1,128,4194304,1,1,2097152,7.036169,0,0,0,2097152.000000,1997.550523
