Total memory usage: 83881676
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,128,4194304,1,1,0,0,0,424.967741,6583991376.000000,0,1591.798749
ofs,0,1,0,1,128,4194304,1,1,1,0.147040,0.700306,0,0,1.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,2,0.023975,0.621732,0,0,2.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,4,0.021263,0.624310,0,0,4.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,8,0.016026,0.657308,0,0,8.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,16,0.016143,0.671356,0,0,16.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,32,0.017366,0.661801,0,0,32.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,64,0.018932,0.655863,0,0,64.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,128,0.016220,0.638338,0,0,128.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,256,0.016908,0.656078,0,0,256.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,512,0.032282,1.082996,0,0,512.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,1024,0.056590,1.771326,0,0,1024.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,2048,0.106246,3.097032,0,0,2048.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,4096,0.208889,5.334126,0,0,4096.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,8192,0.436238,8.843900,0,0,8192.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,16384,0.833036,15.180654,0,0,16384.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,32768,1.684686,26.349285,0,0,32768.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,65536,3.285153,45.980223,0,0,65536.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,131072,7.015172,79.104155,0,0,131072.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,262144,14.185841,136.965703,0,0,262144.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,524288,27.010310,230.277748,0,0,524288.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,1048576,51.389390,0,0,0,1048576.000000,1591.798749
ofs,0,1,0,1,128,4194304,1,1,2097152,102.234906,0,0,0,2097152.000000,1591.798749
