Total memory usage: 85424600
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,128,4194304,1,1,0,0,0,394.257170,6572686416.000000,0,655.613520
ofs,0,1,0,1,128,4194304,1,1,1,0.089114,2.089771,0,0,1.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,2,0.033413,1.946276,0,0,2.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,4,0.020519,1.518257,0,0,4.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,8,0.023083,2.051224,0,0,8.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,16,0.025398,1.672753,0,0,16.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,32,0.025025,2.021696,0,0,32.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,64,0.017306,1.704558,0,0,64.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,128,0.022133,1.778044,0,0,128.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,256,0.017365,1.955429,0,0,256.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,512,0.022650,1.987089,0,0,512.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,1024,0.022595,1.632598,0,0,1024.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,2048,0.020333,1.658733,0,0,2048.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,4096,0.022158,1.897948,0,0,4096.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,8192,0.034584,3.057927,0,0,8192.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,16384,0.073253,4.783416,0,0,16384.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,32768,0.135539,6.984636,0,0,32768.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,65536,0.269750,12.228237,0,0,65536.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,131072,0.486674,18.605073,0,0,131072.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,262144,0.858151,32.170214,0,0,262144.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,524288,1.414437,49.600951,0,0,524288.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,1048576,2.370003,0,0,0,1048576.000000,655.613520
ofs,0,1,0,1,128,4194304,1,1,2097152,4.049591,0,0,0,2097152.000000,655.613520
