test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
omap,1,1,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,28823.373011,3623878224000.000000,0,4600.523206
omap,1,1,0,1,1024,8388608,24,1,1,0.121724,14218848.000000,0,0.238129,26749440.000000,26121.000000,0,0,1.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,2,0,0,0,0.226546,27069120.000000,26433.000000,0,0,2.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,4,0,0,0,0.241515,27656640.000000,27007.000000,0,0,4.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,8,0,0,0,0.245472,28909440.000000,28230.000000,0,0,8.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,16,0,0,0,0.278656,30741120.000000,30019.000000,0,0,16.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,32,0,0,0,0.276953,34214400.000000,33411.000000,0,0,32.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,64,0,0,0,0.355748,42007680.000000,41022.000000,0,0,64.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,128,0,0,0,0.480948,55987200.000000,54674.000000,0,0,128.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,256,0,0,0,0.728040,84343680.000000,82365.000000,0,0,256.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,512,0,0,0,1.189456,136244160.000000,133049.000000,0,0,512.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,1024,0,0,0,2.069810,232320960.000000,226874.000000,0,0,1024.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,2048,0,0,0,3.654492,407462400.000000,397911.000000,0,0,2048.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,4096,0,0,0,6.588557,730969920.000000,713836.000000,0,0,4096.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,8192,0,0,0,12.118497,1300993920.000000,1270500.000000,0,0,8192.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,16384,0,0,0,25.262223,2307726720.000000,2253638.000000,0,0,16384.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,32768,0,0,0,44.837398,4044911040.000000,3950107.000000,0,0,32768.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,65536,0,0,0,71.735270,6946050240.000000,6783251.000000,0,0,65536.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,131072,0,0,0,122.964137,11652154560.000000,11379056.000000,0,0,131072.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,262144,0,0,0,213.162860,18887117760.000000,18444449.000000,0,0,262144.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,524288,0,0,0,408.159464,29287431360.000000,28601006.000000,0,0,524288.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,1048576,0,0,0,784.296353,42541096320.000000,41544038.000000,0,0,1048576.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,2097152,0,0,0,1150.917542,56511717120.000000,55187222.000000,0,0,2097152.000000,4600.523206
omap,1,1,0,1,1024,8388608,24,1,4194304,0,0,0,1450.086800,67241664000.000000,65665686.000000,0,0,4194304.000000,4600.523206
