test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,8388608,3,128,0,0,0,0,0,0,675.350292,22274878080.000000,0,2171.276089
ofs,1,1,0,1,128,8388608,3,128,1,0.476402,7488320.000000,0.619969,13079200.000000,102180.000000,0,0,1.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,2,0.477159,7499840.000000,0.606911,13096960.000000,102318.000000,0,0,2.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,4,0.477901,7514720.000000,0.608099,13077760.000000,102166.000000,0,0,4.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,8,0.473955,7496480.000000,0.620178,13068640.000000,102090.000000,0,0,8.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,16,0.478400,7492160.000000,0.629998,13066240.000000,102064.000000,0,0,16.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,32,0.471597,7485440.000000,0.607689,13085440.000000,102198.000000,0,0,32.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,64,0.502520,7506560.000000,0.645954,13074400.000000,102079.000000,0,0,64.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,128,0.472744,7507040.000000,0.607323,13048000.000000,101809.000000,0,0,128.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,256,0.725877,13409920.000000,1.000917,24582560.000000,191795.000000,0,0,256.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,512,1.179897,25261280.000000,1.873791,47610880.000000,371448.000000,0,0,512.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,1024,2.170958,48893440.000000,3.384195,93618080.000000,730367.000000,0,0,1024.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,2048,4.135214,96319040.000000,6.652846,185727040.000000,1448944.000000,0,0,2048.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,4096,7.846159,191018080.000000,13.064595,369713600.000000,2884291.000000,0,0,4096.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,8192,15.362787,380418560.000000,25.929938,737921920.000000,5756823.000000,0,0,8192.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,16384,31.054691,759183040.000000,51.374053,1474370720.000000,11502137.000000,0,0,16384.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,32768,2.099089,572891200.000000,3.911917,1144167680.000000,8906042.000000,0,0,32768.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,65536,3.702899,1144205600.000000,7.369080,2286770080.000000,17799855.000000,0,0,65536.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,131072,7.153477,2286860320.000000,14.919526,4571972480.000000,35587463.000000,0,0,131072.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,262144,15.189880,4572192320.000000,29.861990,9142336000.000000,71162356.000000,0,0,262144.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,524288,28.666118,9142763680.000000,56.079090,18283047200.000000,142312018.000000,0,0,524288.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,1048576,55.801361,18283865600.000000,109.940382,36564473440.000000,284611372.000000,0,0,1048576.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,2097152,121.722327,38713651488.000000,217.877154,73127384480.000000,569210539.000000,0,0,2097152.000000,2171.276089
ofs,1,1,0,1,128,8388608,3,128,4194304,218.161957,73130647520.000000,428.845025,146253096160.000000,1138408009.000000,0,0,4194304.000000,2171.276089
