test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
omap,1,1,0,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,29854.154412,3623878224000.000000,0,4731.924771
omap,1,1,0,1,1024,8388608,24,1,1,0.122050,14236214.400000,0,0.233911,27043200.000000,26408.000000,0,0,1.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,2,0,0,0,0.240997,27190080.000000,26551.000000,0,0,2.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,4,0,0,0,0.244440,27570240.000000,26923.000000,0,0,4.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,8,0,0,0,0.242213,28728000.000000,28053.000000,0,0,8.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,16,0,0,0,0.267444,30602880.000000,29884.000000,0,0,16.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,32,0,0,0,0.301776,34240320.000000,33436.000000,0,0,32.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,64,0,0,0,0.363567,41955840.000000,40971.000000,0,0,64.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,128,0,0,0,0.486368,56108160.000000,54792.000000,0,0,128.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,256,0,0,0,0.727375,84265920.000000,82289.000000,0,0,256.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,512,0,0,0,1.203537,136071360.000000,132881.000000,0,0,512.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,1024,0,0,0,2.099082,232424640.000000,226976.000000,0,0,1024.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,2048,0,0,0,3.751491,410503680.000000,400881.000000,0,0,2048.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,4096,0,0,0,6.737324,730658880.000000,713533.000000,0,0,4096.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,8192,0,0,0,12.339340,1304830080.000000,1274247.000000,0,0,8192.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,16384,0,0,0,23.076496,2307000960.000000,2252929.000000,0,0,16384.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,32768,0,0,0,40.904554,4041463680.000000,3946740.000000,0,0,32768.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,65536,0,0,0,71.715307,6944218560.000000,6781462.000000,0,0,65536.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,131072,0,0,0,151.216503,11644862400.000000,11371934.000000,0,0,131072.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,262144,0,0,0,277.914929,18906713280.000000,18463586.000000,0,0,262144.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,524288,0,0,0,476.649475,29282316480.000000,28596011.000000,0,0,524288.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,1048576,0,0,0,767.754674,42512584320.000000,41516194.000000,0,0,1048576.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,2097152,0,0,0,1127.439318,56537619840.000000,55212518.000000,0,0,2097152.000000,4731.924771
omap,1,1,0,1,1024,8388608,24,1,4194304,0,0,0,1455.266086,67251254400.000000,65675052.000000,0,0,4194304.000000,4731.924771
