test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,8388608,3,2,0,0,0,0,0,0,983.146698,22274878080.000000,0,1209.399589
ofs,1,1,0,1,128,8388608,3,2,1,0.537819,7506560.000000,0.679723,13103200.000000,102367.000000,0,0,1.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,2,0.460121,7490720.000000,0.647888,13108000.000000,102404.000000,0,0,2.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,4,0.451040,7481600.000000,0.616081,13091200.000000,102271.000000,0,0,4.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,8,0.457681,7496960.000000,0.665842,13085440.000000,102222.000000,0,0,8.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,16,0.467883,7502720.000000,0.642349,13070560.000000,102097.000000,0,0,16.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,32,0.461628,7495040.000000,0.625667,13081600.000000,102168.000000,0,0,32.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,64,0.438234,7509440.000000,0.620707,13072480.000000,102064.000000,0,0,64.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,128,0.448371,7485920.000000,0.625256,13109440.000000,102289.000000,0,0,128.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,256,0.690170,13398400.000000,1.029224,24595520.000000,191896.000000,0,0,256.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,512,1.800766,572897920.000000,3.208277,1144165760.000000,8938283.000000,0,0,512.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,1024,1.725275,572875840.000000,3.183078,1144162880.000000,8937748.000000,0,0,1024.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,2048,1.791372,572913760.000000,3.167710,1144170080.000000,8936780.000000,0,0,2048.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,4096,1.757484,572911840.000000,3.374980,1144165280.000000,8934695.000000,0,0,4096.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,8192,1.688280,572904160.000000,3.291398,1144175360.000000,8930678.000000,0,0,8192.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,16384,1.738155,572905120.000000,3.213679,1144173440.000000,8922471.000000,0,0,16384.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,32768,1.733088,572903200.000000,3.201607,1144193600.000000,8906244.000000,0,0,32768.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,65536,3.310173,1144215680.000000,6.056600,2286797440.000000,17800069.000000,0,0,65536.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,131072,9.261362,1209547424.000000,14.654036,2417502208.000000,18755664.000000,0,0,131072.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,262144,14.297487,2417499328.000000,14.516689,2417489728.000000,18624494.000000,0,0,262144.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,524288,14.249667,2417499808.000000,14.926892,2417493568.000000,18362380.000000,0,0,524288.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,1048576,14.725328,2417496448.000000,14.006728,2417499328.000000,17838137.000000,0,0,1048576.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,2097152,15.214400,2417494528.000000,15.052559,2417498848.000000,16789557.000000,0,0,2097152.000000,1209.399589
ofs,1,1,0,1,128,8388608,3,2,4194304,15.285638,2417499328.000000,15.196786,2417512288.000000,14692510.000000,0,0,4194304.000000,1209.399589
