test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
omap,0,0,1,1,1024,8388608,24,1,0,0,0,0.000000,0,0,0,30335.690656,3623878224000.000000,0,4833.068077
omap,0,0,1,1,1024,8388608,24,1,1,0.119864,14219971.200000,0,0.226743,26732160.000000,26104.000000,0,0,1.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,2,0,0,0,0.234297,27207360.000000,26568.000000,0,0,2.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,4,0,0,0,0.232305,27777600.000000,27125.000000,0,0,4.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,8,0,0,0,0.245963,28520640.000000,27851.000000,0,0,8.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,16,0,0,0,0.251583,30360960.000000,29648.000000,0,0,16.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,32,0,0,0,0.289333,34309440.000000,33504.000000,0,0,32.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,64,0,0,0,0.348548,41748480.000000,40769.000000,0,0,64.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,128,0,0,0,0.492471,56315520.000000,54994.000000,0,0,128.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,256,0,0,0,0.720200,84041280.000000,82070.000000,0,0,256.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,512,0,0,0,1.200426,135725760.000000,132543.000000,0,0,512.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,1024,0,0,0,2.082583,232450560.000000,227001.000000,0,0,1024.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,2048,0,0,0,3.609249,410927040.000000,401294.000000,0,0,2048.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,4096,0,0,0,6.692362,728982720.000000,711896.000000,0,0,4096.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,8192,0,0,0,12.342744,1303499520.000000,1272947.000000,0,0,8192.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,16384,0,0,0,21.951961,2308469760.000000,2254364.000000,0,0,16384.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,32768,0,0,0,39.523448,4040496000.000000,3945795.000000,0,0,32768.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,65536,0,0,0,70.140754,6945402240.000000,6782618.000000,0,0,65536.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,131072,0,0,0,123.780403,11648819520.000000,11375799.000000,0,0,131072.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,262144,0,0,0,220.211362,18905944320.000000,18462835.000000,0,0,262144.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,524288,0,0,0,406.982793,29289159360.000000,28602693.000000,0,0,524288.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,1048576,0,0,0,857.296593,42538625280.000000,41541625.000000,0,0,1048576.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,2097152,0,0,0,1268.196084,56524279680.000000,55199490.000000,0,0,2097152.000000,4833.068077
omap,0,0,1,1,1024,8388608,24,1,4194304,0,0,0,1480.670576,67242139200.000000,65666150.000000,0,0,4194304.000000,4833.068077
