test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,0,1,1,1024,8388608,3,16,0,0,0,0,0,0,1395.480919,142298163840.000000,0,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,1,0.738685,36864768.000000,0.810263,71805696.000000,70121.000000,0,0,1.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,2,0.548977,36865728.000000,0.906392,71816256.000000,70131.000000,0,0,2.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,4,0.565486,36867168.000000,0.965422,71812416.000000,70125.000000,0,0,4.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,8,0.585065,36852288.000000,0.818560,71793216.000000,70102.000000,0,0,8.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,16,0.536513,36880128.000000,0.861671,71776416.000000,70078.000000,0,0,16.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,32,0.535109,36851328.000000,0.756850,71822016.000000,70106.000000,0,0,32.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,64,0.551319,36840768.000000,0.776780,71828736.000000,70081.000000,0,0,64.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,128,0.545902,36882048.000000,0.989328,71793696.000000,69983.000000,0,0,128.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,256,0.849452,72151776.000000,1.328324,142030752.000000,138445.000000,0,0,256.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,512,1.580953,142654272.000000,2.396818,282512544.000000,275379.000000,0,0,512.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,1024,2.837524,283853664.000000,4.920674,563369568.000000,549141.000000,0,0,1024.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,2048,5.308328,566089248.000000,10.696249,1125200736.000000,1096780.000000,0,0,2048.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,4096,14.515743,4331009184.000000,28.885391,8660382048.000000,8453308.000000,0,0,4096.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,8192,14.360947,4330987584.000000,27.208442,8660371968.000000,8449202.000000,0,0,8192.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,16384,14.350403,4331009664.000000,26.535467,8660385888.000000,8441024.000000,0,0,16384.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,32768,14.287562,4331010144.000000,27.481656,8660354208.000000,8424609.000000,0,0,32768.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,65536,28.172207,8660411808.000000,54.321550,17319160896.000000,16847707.000000,0,0,65536.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,131072,55.854341,17319255456.000000,105.745092,34636675872.000000,33693806.000000,0,0,131072.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,262144,109.946065,34636922592.000000,208.078896,69271820544.000000,67386118.000000,0,0,262144.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,524288,215.400897,69272261664.000000,416.118472,138542148768.000000,134770779.000000,0,0,524288.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,1048576,48.257687,8725722432.000000,79.262259,17449874304.000000,15992316.000000,0,0,1048576.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,2097152,84.082588,17449873344.000000,78.133751,17449862784.000000,14943729.000000,0,0,2097152.000000,3250.506024
ofs,0,0,1,1,1024,8388608,3,16,4194304,80.078682,17449894464.000000,82.189359,17449886784.000000,12846601.000000,0,0,4194304.000000,3250.506024
