test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,128,2048,12,1,0,0,0,0,0,0,0.083403,1572096.000000,0,2.041004
osm,1,1,0,1,128,2048,12,1,1,0.022785,394752.000000,0.005008,65280.000000,509.000000,0,0,1.000000,2.041004
osm,1,1,0,1,128,2048,12,1,2,0.029593,663552.000000,0.000001,0.000000,18446744073709551616.000000,0,0,2.000000,2.041004
osm,1,1,0,1,128,2048,12,1,4,0.054771,1092096.000000,0.001867,21504.000000,164.000000,0,0,4.000000,2.041004
osm,1,1,0,1,128,2048,12,1,8,0.086226,1569792.000000,0.001282,23808.000000,178.000000,0,0,8.000000,2.041004
osm,1,1,0,1,128,2048,12,1,16,0.164130,2228736.000000,0.004346,69888.000000,530.000000,0,0,16.000000,2.041004
osm,1,1,0,1,128,2048,12,1,32,0.214390,2754048.000000,0.007066,90624.000000,676.000000,0,0,32.000000,2.041004
osm,1,1,0,1,128,2048,12,1,64,0.223833,3059712.000000,0.015416,142080.000000,1046.000000,0,0,64.000000,2.041004
osm,1,1,0,1,128,2048,12,1,128,0.265089,3138048.000000,0.024170,222720.000000,1612.000000,0,0,128.000000,2.041004
osm,1,1,0,1,128,2048,12,1,256,0.251867,3144192.000000,0.029135,309504.000000,2162.000000,0,0,256.000000,2.041004
osm,1,1,0,1,128,2048,12,1,512,0.247543,3144192.000000,0.033455,296448.000000,1804.000000,0,0,512.000000,2.041004
osm,1,1,0,1,128,2048,12,1,1024,0.248643,3144192.000000,0.025359,224256.000000,728.000000,0,0,1024.000000,2.041004
