In SConstruct
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,64,1048576,10,4096,0,0,0,0,0,0,132.601130,1106353232.000000,0,461.666248
ofs,1,1,0,1,64,1048576,10,4096,1,0.364549,23109792.000000,0.761407,44971104.000000,702672.000000,0,0,1.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,2,0.327687,23077632.000000,0.598752,44961024.000000,702514.000000,0,0,2.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,4,0.395820,23092992.000000,0.571793,44950464.000000,702347.000000,0,0,4.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,8,0.351354,23082432.000000,0.519517,44952864.000000,702380.000000,0,0,8.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,16,0.407236,23096832.000000,0.514480,44953344.000000,702380.000000,0,0,16.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,32,0.347664,23098272.000000,0.481357,44962464.000000,702506.000000,0,0,32.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,64,0.345631,23094912.000000,0.537990,44985504.000000,702834.000000,0,0,64.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,128,0.393420,23088192.000000,0.594303,44950464.000000,702223.000000,0,0,128.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,256,0.408583,23089152.000000,0.513462,44975904.000000,702492.000000,0,0,256.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,512,0.358969,23093472.000000,0.573392,44950464.000000,701839.000000,0,0,512.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,1024,0.428045,23091552.000000,0.532608,44966784.000000,701582.000000,0,0,1024.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,2048,0.334355,23073312.000000,0.526674,44935584.000000,700070.000000,0,0,2048.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,4096,0.544200,45046944.000000,0.965847,88820928.000000,1383731.000000,0,0,4096.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,8192,0.971954,88937088.000000,1.800080,176460096.000000,2748997.000000,0,0,8192.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,16384,1.692518,176784576.000000,3.181925,351830112.000000,5480961.000000,0,0,16384.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,32768,3.340918,352376832.000000,6.555020,702425664.000000,10942633.000000,0,0,32768.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,65536,6.712375,703585824.000000,13.030175,1403658048.000000,21866621.000000,0,0,65536.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,131072,13.567946,1405976448.000000,26.522280,2806182816.000000,43715534.000000,0,0,131072.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,262144,27.325382,2810982816.000000,51.820145,5611416672.000000,87416241.000000,0,0,262144.000000,461.666248
ofs,1,1,0,1,64,1048576,10,4096,524288,56.362187,5709180272.000000,103.479111,11221628544.000000,174813658.000000,0,0,524288.000000,461.666248
