test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,64,1048576,11,128,0,0,0,0,0,0,132.953048,1105054800.000000,0,346.224901
ofs,1,1,0,1,64,1048576,11,128,1,0.488594,39574752.000000,0.682970,77942304.000000,1217847.000000,0,0,1.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,2,0.403384,39558432.000000,0.651554,77955744.000000,1218056.000000,0,0,2.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,4,0.423327,39565632.000000,0.665023,77943264.000000,1217859.000000,0,0,4.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,8,0.464159,39560832.000000,0.629942,77938944.000000,1217788.000000,0,0,8.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,16,0.392796,39563712.000000,0.642799,77945184.000000,1217877.000000,0,0,16.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,32,0.388635,39554112.000000,0.706782,77959104.000000,1218079.000000,0,0,32.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,64,0.370489,39534912.000000,0.595361,77944224.000000,1217814.000000,0,0,64.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,128,0.393924,39565632.000000,0.662011,77942304.000000,1217720.000000,0,0,128.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,256,0.341312,39571392.000000,0.661662,77951904.000000,1217742.000000,0,0,256.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,512,0.439090,39580992.000000,0.692240,77949024.000000,1217441.000000,0,0,512.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,1024,0.402446,39542112.000000,0.633350,77937024.000000,1216742.000000,0,0,1024.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,2048,0.364506,39573792.000000,0.631520,77933664.000000,1215665.000000,0,0,2048.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,4096,0.380382,39558912.000000,0.606485,77925504.000000,1213490.000000,0,0,4096.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,8192,0.660095,77989344.000000,1.210868,154713888.000000,2409212.000000,0,0,8192.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,16384,1.116920,154858368.000000,2.233813,308323776.000000,4801175.000000,0,0,16384.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,32768,2.152122,308549376.000000,4.066339,615540672.000000,9585055.000000,0,0,32768.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,65536,4.048795,615966432.000000,8.160929,1229901984.000000,19151682.000000,0,0,65536.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,131072,7.845085,1230766944.000000,16.045073,2458632768.000000,38285065.000000,0,0,131072.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,262144,16.516734,2460352608.000000,35.104998,4916150016.000000,76552700.000000,0,0,262144.000000,346.224901
ofs,1,1,0,1,64,1048576,11,128,524288,32.822345,4919612256.000000,67.569461,9831311712.000000,153089957.000000,0,0,524288.000000,346.224901
