test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,64,1048576,8,4096,0,0,0,0,0,0,129.655293,1107950672.000000,0,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,1,0.366391,8453376.000000,0.512074,15661152.000000,244704.000000,0,0,1.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,2,0.362957,8462496.000000,0.544410,15643392.000000,244426.000000,0,0,2.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,4,0.305076,8459616.000000,0.482344,15676512.000000,244941.000000,0,0,4.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,8,0.322153,8457216.000000,0.509198,15643872.000000,244427.000000,0,0,8.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,16,0.316791,8465376.000000,0.502176,15659712.000000,244667.000000,0,0,16.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,32,0.352469,8458656.000000,0.505006,15631392.000000,244208.000000,0,0,32.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,64,0.326406,8460096.000000,0.497890,15604992.000000,243764.000000,0,0,64.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,128,0.333414,8466336.000000,0.492909,15643872.000000,244307.000000,0,0,128.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,256,0.346618,8464896.000000,0.517472,15648672.000000,244254.000000,0,0,256.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,512,0.264146,8425536.000000,0.427998,15628512.000000,243683.000000,0,0,512.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,1024,0.430757,15784992.000000,0.790759,30153504.000000,470124.000000,0,0,1024.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,2048,0.807762,30423264.000000,1.548119,59177088.000000,922594.000000,0,0,2048.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,4096,1.562659,59645088.000000,3.507029,117188256.000000,1826970.000000,0,0,4096.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,8192,2.737033,118222656.000000,5.390862,233228352.000000,3636001.000000,0,0,8192.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,16384,5.204712,235278432.000000,10.196419,465193344.000000,7252262.000000,0,0,16384.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,32768,10.404943,469485984.000000,19.915056,929546208.000000,14491391.000000,0,0,32768.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,65536,20.717074,937662048.000000,39.775333,1857640896.000000,28960103.000000,0,0,65536.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,131072,41.022753,1874094336.000000,87.128507,3714090912.000000,57901598.000000,0,0,131072.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,262144,83.330323,3747010752.000000,163.464438,7493956464.000000,116830925.000000,0,0,262144.000000,1136.084626
ofs,1,1,0,1,64,1048576,8,4096,524288,177.855455,7581269504.000000,322.347260,14875773008.000000,231909665.000000,0,0,524288.000000,1136.084626
