test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,4,1048576,1,1,0,0,0,128.611188,604355664.000000,0,304.704948
ofs,0,1,1,1,4,1048576,1,1,1,0.599224,0.377882,0,0,1.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,2,0.409375,0.373531,0,0,2.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,4,0.385960,0.363058,0,0,4.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,8,0.402581,0.379090,0,0,8.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,16,0.386182,0.370295,0,0,16.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,32,0.382972,0.371194,0,0,32.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,64,0.399953,0.369447,0,0,64.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,128,0.383338,0.367745,0,0,128.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,256,0.385155,0.371728,0,0,256.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,512,0.403157,0.371110,0,0,512.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,1024,0.372863,0.379246,0,0,1024.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,2048,0.523267,0.563382,0,0,2048.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,4096,0.792166,0.890094,0,0,4096.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,8192,1.337314,1.431394,0,0,8192.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,16384,2.477979,2.457081,0,0,16384.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,32768,4.563816,4.213633,0,0,32768.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,65536,8.757189,7.395255,0,0,65536.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,131072,17.190550,12.919453,0,0,131072.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,262144,34.045075,0,0,0,262144.000000,304.704948
ofs,0,1,1,1,4,1048576,1,1,524288,67.548493,0,0,0,524288.000000,304.704948
