test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,4,1048576,1,1,0,0,0,91.981479,605854800.000000,0,989.493487
ofs,0,1,0,1,4,1048576,1,1,1,0.513671,0.448251,0,0,1.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,2,0.433044,0.445510,0,0,2.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,4,0.413873,0.465571,0,0,4.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,8,0.398862,0.450983,0,0,8.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,16,0.437907,0.446547,0,0,16.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,32,0.421294,0.445816,0,0,32.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,64,0.412255,0.451471,0,0,64.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,128,0.413995,0.459959,0,0,128.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,256,0.419013,0.448943,0,0,256.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,512,0.561384,0.721639,0,0,512.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,1024,0.885279,1.318638,0,0,1024.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,2048,1.519908,2.409467,0,0,2048.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,4096,2.763365,4.599284,0,0,4096.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,8192,5.260038,9.117039,0,0,8192.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,16384,10.240957,18.771237,0,0,16384.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,32768,20.049353,36.886553,0,0,32768.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,65536,39.476578,71.850734,0,0,65536.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,131072,78.605381,143.043328,0,0,131072.000000,989.493487
ofs,0,1,0,1,4,1048576,1,1,262144,156.815878,284.685171,0,0,262144.000000,989.493487
