test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,79.045618,285212400.000000,0,1081.269913
osm,1,1,0,1,4,1048576,21,1,1,0.000003,0.000000,0.607766,87312.000000,21827.000000,0,0,1.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,2,0.004864,0.000000,0.590932,85952.000000,21486.000000,0,0,2.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,4,0.000020,0.000000,0.617474,91392.000000,22844.000000,0,0,4.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,8,0.000012,0.000000,0.607315,102816.000000,25696.000000,0,0,8.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,16,0.000024,0.000000,0.650765,127024.000000,31740.000000,0,0,16.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,32,0.000050,0.000000,0.676635,183328.000000,45800.000000,0,0,32.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,64,0.000125,0.000000,0.798664,294848.000000,73648.000000,0,0,64.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,128,0.000250,0.000000,0.986540,498848.000000,124584.000000,0,0,128.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,256,0.000591,0.000000,1.505588,870672.000000,217412.000000,0,0,256.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,512,0.001395,0.000000,2.387791,1566720.000000,391168.000000,0,0,512.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,1024,0.003230,0.000000,3.942322,2820096.000000,704000.000000,0,0,1024.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,2048,0.007399,0.000000,6.712423,5086400.000000,1269552.000000,0,0,2048.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,4096,0.017179,0.000000,12.131541,9058144.000000,2260440.000000,0,0,4096.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,8192,0.041519,0.000000,21.617055,15809184.000000,3944104.000000,0,0,8192.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,16384,0.100973,0.000000,38.584291,27384416.000000,6829720.000000,0,0,16384.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,32768,0.232906,0.000000,65.661584,45744688.000000,11403404.000000,0,0,32768.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,65536,0.530787,0.000000,115.697020,74438240.000000,18544024.000000,0,0,65536.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,131072,1.285277,0.000000,179.828327,115152288.000000,28657000.000000,0,0,131072.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,262144,3.033135,0.000000,0,0,0,0,0,262144.000000,1081.269913
osm,1,1,0,1,4,1048576,21,1,524288,7.052322,0.000000,0,0,0,0,0,524288.000000,1081.269913
