test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,199.710106,605854800.000000,0,772.422029
ofs,1,1,0,1,4,1048576,1,1,1,0.053903,0.983108,0,0,1.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,2,0.053956,1.004053,0,0,2.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,4,0.037231,1.033163,0,0,4.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,8,0.057078,0.940033,0,0,8.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,16,0.032599,0.991090,0,0,16.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,32,0.023298,1.022523,0,0,32.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,64,0.042542,0.970260,0,0,64.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,128,0.025841,0.980302,0,0,128.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,256,0.033069,0.974354,0,0,256.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,512,0.047276,1.483453,0,0,512.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,1024,0.103236,2.301394,0,0,1024.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,2048,0.190928,3.871376,0,0,2048.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,4096,0.388614,6.681824,0,0,4096.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,8192,0.774630,12.001945,0,0,8192.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,16384,1.570899,19.464443,0,0,16384.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,32768,3.080659,34.760222,0,0,32768.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,65536,6.064472,62.761781,0,0,65536.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,131072,11.813473,110.362099,0,0,131072.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,262144,23.448128,0,0,0,262144.000000,772.422029
ofs,1,1,0,1,4,1048576,1,1,524288,46.351447,0,0,0,524288.000000,772.422029
