test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,4,1048576,1,1,0,0,0,204.418380,604355664.000000,0,557.415922
ofs,0,1,1,1,4,1048576,1,1,1,0.082102,0.898829,0,0,1.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,2,0.037955,0.888163,0,0,2.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,4,0.028503,0.911199,0,0,4.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,8,0.023908,0.910526,0,0,8.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,16,0.027451,0.882580,0,0,16.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,32,0.023518,0.920909,0,0,32.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,64,0.032415,0.917618,0,0,64.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,128,0.021043,0.871689,0,0,128.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,256,0.034573,0.883274,0,0,256.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,512,0.027926,0.886878,0,0,512.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,1024,0.035492,0.863207,0,0,1024.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,2048,0.045190,1.330078,0,0,2048.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,4096,0.087458,2.017840,0,0,4096.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,8192,0.158826,3.312009,0,0,8192.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,16384,0.306715,5.863560,0,0,16384.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,32768,0.615677,10.401977,0,0,32768.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,65536,1.203991,17.683625,0,0,65536.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,131072,2.334210,32.528218,0,0,131072.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,262144,4.469871,58.150791,0,0,262144.000000,557.415922
ofs,0,1,1,1,4,1048576,1,1,524288,8.610606,101.771691,0,0,524288.000000,557.415922
