test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,4,1048576,21,1,0,0,0,0,0,0,100.427160,285212400.000000,0,1536.210262
osm,0,0,1,1,4,1048576,21,1,1,0.000004,0.000000,0.752170,84592.000000,21147.000000,0,0,1.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,2,0.000006,0.000000,0.740309,85136.000000,21282.000000,0,0,2.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,4,0.000006,0.000000,0.762606,90576.000000,22640.000000,0,0,4.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,8,0.000010,0.000000,0.749852,100912.000000,25220.000000,0,0,8.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,16,0.000022,0.000000,0.799919,122944.000000,30720.000000,0,0,16.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,32,0.000052,0.000000,0.901525,182512.000000,45596.000000,0,0,32.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,64,0.000113,0.000000,1.088916,290224.000000,72492.000000,0,0,64.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,128,0.000249,0.000000,1.443864,491504.000000,122748.000000,0,0,128.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,256,0.000582,0.000000,1.961991,874480.000000,218364.000000,0,0,256.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,512,0.001348,0.000000,3.271942,1571344.000000,392324.000000,0,0,512.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,1024,0.003178,0.000000,5.546374,2839136.000000,708760.000000,0,0,1024.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,2048,0.007358,0.000000,9.269136,5105440.000000,1274312.000000,0,0,2048.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,4096,0.017404,0.000000,16.561186,9097856.000000,2270368.000000,0,0,4096.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,8192,0.040634,0.000000,30.297057,15872560.000000,3959948.000000,0,0,8192.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,16384,0.098081,0.000000,54.969629,27323760.000000,6814556.000000,0,0,16384.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,32768,0.235149,0.000000,99.278212,45843968.000000,11428224.000000,0,0,32768.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,65536,0.602274,0.000000,172.667530,74415936.000000,18538448.000000,0,0,65536.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,131072,1.290562,0.000000,285.433237,115148480.000000,28656048.000000,0,0,131072.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,262144,3.096006,0.000000,0,0,0,0,0,262144.000000,1536.210262
osm,0,0,1,1,4,1048576,21,1,524288,7.181594,0.000000,0,0,0,0,0,524288.000000,1536.210262
