test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,4,1048576,2,4,0,0,0,109.948914,706243200.000000,0,218.054605
ofs,0,1,1,1,4,1048576,2,4,1,0.000000,0.458132,0,0,1.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,2,0.000000,0.445763,0,0,2.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,4,0.000000,0.461416,0,0,4.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,8,0.000000,0.436558,0,0,8.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,16,0.000000,0.452407,0,0,16.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,32,0.000000,0.457189,0,0,32.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,64,0.000000,0.449193,0,0,64.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,128,0.000000,0.451493,0,0,128.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,256,0.000000,0.461663,0,0,256.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,512,0.000000,0.744841,0,0,512.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,1024,0.000000,1.327488,0,0,1024.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,2048,0.000000,0.423154,0,0,2048.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,4096,0.000000,0.407318,0,0,4096.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,8192,0.000000,0.640620,0,0,8192.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,16384,0.000000,1.140227,0,0,16384.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,32768,0.000000,2.126576,0,0,32768.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,65536,0.000000,4.007934,0,0,65536.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,131072,0.000000,7.792384,0,0,131072.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,262144,0.000000,15.469831,0,0,262144.000000,218.054605
ofs,0,1,1,1,4,1048576,2,4,524288,0.000000,31.488179,0,0,524288.000000,218.054605
