test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,161.708204,607767632.000000,0,5945.940048
ofs,1,1,0,1,4,1048576,1,1,1,0.530506,0.316013,0,0,1.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,2,0.418564,0.347660,0,0,2.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,4,0.401971,0.332736,0,0,4.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,8,0.397560,0.340469,0,0,8.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,16,0.411790,0.329638,0,0,16.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,32,0.395866,0.315536,0,0,32.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,64,0.416702,0.333710,0,0,64.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,128,0.383253,0.324106,0,0,128.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,256,0.566627,0.589569,0,0,256.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,512,0.850554,0.965964,0,0,512.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,1024,1.519851,1.811900,0,0,1024.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,2048,2.768982,3.088057,0,0,2048.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,4096,5.235779,5.332451,0,0,4096.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,8192,10.372802,8.855710,0,0,8192.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,16384,20.236283,17.153482,0,0,16384.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,32768,39.968323,29.664775,0,0,32768.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,65536,79.213314,52.890176,0,0,65536.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,131072,158.848525,85.779985,0,0,131072.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,262144,317.551769,134.621455,0,0,262144.000000,5945.940048
ofs,1,1,0,1,4,1048576,1,1,524288,633.821616,202.515278,0,0,524288.000000,5945.940048
