test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,57.327483,285212400.000000,0,5030.964116
osm,1,1,0,1,4,1048576,21,1,1,0.000018,0.000000,0.286690,85353.600000,21337.400000,0,0,1.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,2,0.000004,0.000000,0.262696,86278.400000,21567.600000,0,0,2.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,4,0.000039,0.000000,0.254963,90576.000000,22640.000000,0,0,4.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,8,0.000257,0.000000,0.252914,101564.800000,25383.200000,0,0,8.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,16,0.000077,0.000000,0.281928,127622.400000,31889.600000,0,0,16.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,32,0.000114,0.000000,0.292170,183708.800000,45895.200000,0,0,32.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,64,0.000253,0.000000,0.380771,288156.800000,71975.200000,0,0,64.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,128,0.000593,0.000000,0.465377,494659.200000,123536.800000,0,0,128.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,256,0.001401,0.000000,0.741635,868822.400000,216949.600000,0,0,256.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,512,0.003221,0.000000,1.110523,1572921.600000,392718.400000,0,0,512.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,1024,0.007553,0.000000,1.911880,2837068.800000,708243.200000,0,0,1024.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,2048,0.015319,0.000000,3.342484,5099510.400000,1272829.600000,0,0,2048.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,4096,0.026758,0.000000,5.789658,9052323.200000,2258984.800000,0,0,4096.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,8192,0.048504,0.000000,11.322822,15881481.600000,3962178.400000,0,0,8192.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,16384,0.108784,0.000000,20.894018,27287747.200000,6805552.800000,0,0,16384.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,32768,0.259901,0.000000,38.118140,45797673.600000,11416650.400000,0,0,32768.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,65536,0.619025,0.000000,63.849483,74400921.600000,18534694.400000,0,0,65536.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,131072,1.937147,0.000000,102.480943,115271750.400000,28686865.600000,0,0,131072.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,262144,4.663543,0.000000,150.408481,167272656.000000,41556020.000000,0,0,262144.000000,5030.964116
osm,1,1,0,1,4,1048576,21,1,524288,11.051252,0.000000,191.730457,222459008.000000,55090464.000000,0,0,524288.000000,5030.964116
