test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,131072,18,1,0,0,0,0,0,4.913896,35651312.000000,0,64.459578
osm,1,1,0,1,4,131072,18,1,1,0.000000,0.000000,60384.000000,15095.000000,0,0,1.000000,64.459578
osm,1,1,0,1,4,131072,18,1,2,0.000001,0.000000,60928.000000,15230.000000,0,0,2.000000,64.459578
osm,1,1,0,1,4,131072,18,1,4,0.000002,0.000000,63376.000000,15840.000000,0,0,4.000000,64.459578
osm,1,1,0,1,4,131072,18,1,8,0.000005,0.000000,73440.000000,18352.000000,0,0,8.000000,64.459578
osm,1,1,0,1,4,131072,18,1,16,0.000013,0.000000,90032.000000,22492.000000,0,0,16.000000,64.459578
osm,1,1,0,1,4,131072,18,1,32,0.000029,0.000000,139808.000000,34920.000000,0,0,32.000000,64.459578
osm,1,1,0,1,4,131072,18,1,64,0.000067,0.000000,223856.000000,55900.000000,0,0,64.000000,64.459578
osm,1,1,0,1,4,131072,18,1,128,0.000166,0.000000,375904.000000,93848.000000,0,0,128.000000,64.459578
osm,1,1,0,1,4,131072,18,1,256,0.000400,0.000000,645456.000000,161108.000000,0,0,256.000000,64.459578
osm,1,1,0,1,4,131072,18,1,512,0.001055,0.000000,1148112.000000,286516.000000,0,0,512.000000,64.459578
osm,1,1,0,1,4,131072,18,1,1024,0.002537,0.000000,2015248.000000,502788.000000,0,0,1024.000000,64.459578
osm,1,1,0,1,4,131072,18,1,2048,0.006300,0.000000,3412784.000000,851148.000000,0,0,2048.000000,64.459578
osm,1,1,0,1,4,131072,18,1,4096,0.015120,0.000000,5744912.000000,1432132.000000,0,0,4096.000000,64.459578
osm,1,1,0,1,4,131072,18,1,8192,0.036324,0.000000,9294512.000000,2315436.000000,0,0,8192.000000,64.459578
osm,1,1,0,1,4,131072,18,1,16384,0.084689,0.000000,14324608.000000,3564768.000000,0,0,16384.000000,64.459578
osm,1,1,0,1,4,131072,18,1,32768,0.196653,0.000000,20883888.000000,5188204.000000,0,0,32768.000000,64.459578
osm,1,1,0,1,4,131072,18,1,65536,0.457340,0.000000,27838384.000000,6894060.000000,0,0,65536.000000,64.459578
