test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,129.970353,607767632.000000,0,2478.421897
ofs,1,1,0,1,4,1048576,1,1,1,0.397483,0.472244,0,0,1.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,2,0.451309,0.555863,0,0,2.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,4,0.439367,0.568399,0,0,4.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,8,0.338724,0.489578,0,0,8.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,16,0.355885,0.592940,0,0,16.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,32,0.377926,0.479707,0,0,32.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,64,0.406046,0.630288,0,0,64.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,128,0.362548,0.479495,0,0,128.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,256,0.549702,0.885746,0,0,256.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,512,0.861483,1.762653,0,0,512.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,1024,1.644922,3.043500,0,0,1024.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,2048,2.734093,6.057950,0,0,2048.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,4096,5.366885,11.920428,0,0,4096.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,8192,10.403226,26.172569,0,0,8192.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,16384,21.205865,49.553236,0,0,16384.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,32768,42.305708,99.218043,0,0,32768.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,65536,84.455860,199.895799,0,0,65536.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,131072,160.498953,400.371957,0,0,131072.000000,2478.421897
ofs,1,1,0,1,4,1048576,1,1,262144,398.494938,813.648265,0,0,262144.000000,2478.421897
