test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,53.267240,285212400.000000,0,4271.668383
osm,1,1,0,1,4,1048576,21,1,1,0.000001,0.000000,0.292252,163925.333333,40980.333333,0,0,1.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,2,0.000001,0.000000,0.314848,168277.333333,42067.333333,0,0,2.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,4,0.000002,0.000000,0.304862,178613.333333,44649.333333,0,0,4.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,8,0.000006,0.000000,0.366471,214880.000000,53712.000000,0,0,8.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,16,0.000015,0.000000,0.417109,293941.333333,73469.333333,0,0,16.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,32,0.000032,0.000000,0.374210,462218.666667,115522.666667,0,0,32.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,64,0.000075,0.000000,0.556796,802037.333333,200445.333333,0,0,64.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,128,0.000176,0.000000,0.701606,1486570.666667,371514.666667,0,0,128.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,256,0.000448,0.000000,1.062171,2873408.000000,718096.000000,0,0,256.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,512,0.001079,0.000000,1.718744,5649621.333333,1411893.333333,0,0,512.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,1024,0.002592,0.000000,2.996090,11212202.666667,2802026.666667,0,0,1024.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,2048,0.006396,0.000000,5.547416,22344437.333333,5584061.333333,0,0,2048.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,4096,0.028308,0.000000,10.721062,44618880.000000,11150624.000000,0,0,4096.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,8192,0.081287,0.000000,20.773228,89175200.000000,22285608.000000,0,0,8192.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,16384,0.199527,0.000000,39.259621,178293642.666667,44557026.666667,0,0,16384.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,32768,0.410825,0.000000,76.313567,356545216.000000,89103536.000000,0,0,32768.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,65536,1.086326,0.000000,144.566262,713051445.333333,178197325.333333,0,0,65536.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,131072,2.551286,0.000000,275.338933,1426073152.000000,356387216.000000,0,0,131072.000000,4271.668383
osm,1,1,0,1,4,1048576,21,1,262144,5.889981,0.000000,550.016307,2852126720.000000,712769536.000000,0,0,262144.000000,4271.668383
