test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,44.281042,285212400.000000,0,1290.458651
osm,1,1,0,1,4,1048576,21,1,1,0.000001,0.000000,0.222235,80149.333333,20036.333333,0,0,1.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,2,0.000001,0.000000,0.228493,80874.666667,20216.666667,0,0,2.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,4,0.000002,0.000000,0.235143,86224.000000,21552.000000,0,0,4.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,8,0.000006,0.000000,0.245681,96832.000000,24200.000000,0,0,8.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,16,0.000013,0.000000,0.269458,124757.333333,31173.333333,0,0,16.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,32,0.000029,0.000000,0.282468,177162.666667,44258.666667,0,0,32.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,64,0.000070,0.000000,0.326126,287141.333333,71721.333333,0,0,64.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,128,0.000174,0.000000,0.398966,492864.000000,123088.000000,0,0,128.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,256,0.000427,0.000000,0.598770,870309.333333,217321.333333,0,0,256.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,512,0.001051,0.000000,0.935937,1571344.000000,392324.000000,0,0,512.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,1024,0.002609,0.000000,1.565325,2837232.000000,708284.000000,0,0,1024.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,2048,0.006384,0.000000,2.687846,5102448.000000,1273564.000000,0,0,2048.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,4096,0.015358,0.000000,4.659213,9051344.000000,2258740.000000,0,0,4096.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,8192,0.036709,0.000000,8.092675,15876912.000000,3961036.000000,0,0,8192.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,16384,0.085987,0.000000,13.903298,27303541.333333,6809501.333333,0,0,16384.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,32768,0.201031,0.000000,23.342817,45878421.333333,11436837.333333,0,0,32768.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,65536,0.463410,0.000000,37.459736,74380666.666667,18529630.666667,0,0,65536.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,131072,1.084632,0.000000,57.201531,115189461.333333,28666293.333333,0,0,131072.000000,1290.458651
osm,1,1,0,1,4,1048576,21,1,262144,2.494485,0.000000,79.731140,167308469.333333,41564973.333333,0,0,262144.000000,1290.458651
