test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,41.279675,285212400.000000,0,918.984810
osm,1,1,0,1,4,1048576,21,1,1,0.000001,0.000000,0.219988,165920.000000,41479.000000,0,0,1.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,2,0.000001,0.000000,0.221597,169728.000000,42430.000000,0,0,2.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,4,0.000002,0.000000,0.229358,178432.000000,44604.000000,0,0,4.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,8,0.000006,0.000000,0.223160,215968.000000,53984.000000,0,0,8.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,16,0.000013,0.000000,0.213728,295936.000000,73968.000000,0,0,16.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,32,0.000030,0.000000,0.293271,461856.000000,115432.000000,0,0,32.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,64,0.000067,0.000000,0.354868,800768.000000,200128.000000,0,0,64.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,128,0.000172,0.000000,0.432852,1490016.000000,372376.000000,0,0,128.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,256,0.000405,0.000000,0.705997,2870688.000000,717416.000000,0,0,256.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,512,0.001040,0.000000,1.188529,5653248.000000,1412800.000000,0,0,512.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,1024,0.002589,0.000000,2.043923,11210752.000000,2801664.000000,0,0,1024.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,2048,0.006450,0.000000,3.757390,22343712.000000,5583880.000000,0,0,2048.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,4096,0.015271,0.000000,6.934971,44616704.000000,11150080.000000,0,0,4096.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,8192,0.036661,0.000000,13.592862,89177376.000000,22286152.000000,0,0,8192.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,16384,0.086194,0.000000,25.520216,178297088.000000,44557888.000000,0,0,16384.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,32768,0.201417,0.000000,49.753990,356543584.000000,89103128.000000,0,0,32768.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,65536,0.461422,0.000000,97.958096,713051264.000000,178197280.000000,0,0,65536.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,131072,1.069739,0.000000,181.943180,1426073696.000000,356387352.000000,0,0,131072.000000,918.984810
osm,1,1,0,1,4,1048576,21,1,262144,2.501150,0.000000,343.938810,2852126720.000000,712769536.000000,0,0,262144.000000,918.984810
