test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,52.528856,285212400.000000,0,2134.633650
osm,1,1,0,1,4,1048576,21,1,1,0.000037,0.000000,0.243773,82144.000000,20535.000000,0,0,1.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,2,0.000003,0.000000,0.245450,79605.333333,19899.333333,0,0,2.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,4,0.000027,0.000000,0.250904,85408.000000,21348.000000,0,0,4.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,8,0.000223,0.000000,0.243765,96378.666667,24086.666667,0,0,8.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,16,0.000042,0.000000,0.244450,125029.333333,31241.333333,0,0,16.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,32,0.000100,0.000000,0.287505,181061.333333,45233.333333,0,0,32.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,64,0.000224,0.000000,0.367667,286869.333333,71653.333333,0,0,64.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,128,0.000541,0.000000,0.490660,491504.000000,122748.000000,0,0,128.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,256,0.001178,0.000000,0.709779,874208.000000,218296.000000,0,0,256.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,512,0.002703,0.000000,1.050683,1570981.333333,392233.333333,0,0,512.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,1024,0.006365,0.000000,1.810495,2842218.666667,709530.666667,0,0,1024.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,2048,0.012802,0.000000,3.350348,5085402.666667,1269302.666667,0,0,2048.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,4096,0.023712,0.000000,5.716267,9030490.666667,2253526.666667,0,0,4096.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,8192,0.048470,0.000000,10.644311,15845722.666667,3953238.666667,0,0,8192.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,16384,0.117182,0.000000,19.407863,27302000.000000,6809116.000000,0,0,16384.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,32768,0.273951,0.000000,35.940528,45830730.666667,11424914.666667,0,0,32768.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,65536,0.625796,0.000000,61.181961,74386378.666667,18531058.666667,0,0,65536.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,131072,2.207397,0.000000,100.853610,115089093.333333,28641201.333333,0,0,131072.000000,2134.633650
osm,1,1,0,1,4,1048576,21,1,262144,5.621522,0.000000,147.098319,167324517.333333,41568985.333333,0,0,262144.000000,2134.633650
