test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,142.025885,603704400.000000,0,596.962550
ofs,1,1,0,1,4,1048576,1,1,1,0.442013,0.405371,0,0,1.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,2,0.384078,0.395038,0,0,2.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,4,0.371128,0.380884,0,0,4.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,8,0.362220,0.380038,0,0,8.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,16,0.363899,0.386616,0,0,16.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,32,0.402519,0.390603,0,0,32.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,64,0.362455,0.388180,0,0,64.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,128,0.364856,0.397317,0,0,128.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,256,0.363415,0.388269,0,0,256.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,512,0.367605,0.403388,0,0,512.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,1024,0.368162,0.388193,0,0,1024.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,2048,0.356795,0.378352,0,0,2048.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,4096,0.375435,0.385083,0,0,4096.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,8192,0.484649,0.624196,0,0,8192.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,16384,0.754067,1.097648,0,0,16384.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,32768,1.226652,1.995911,0,0,32768.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,65536,2.154800,3.796011,0,0,65536.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,131072,4.159899,7.692148,0,0,131072.000000,596.962550
ofs,1,1,0,1,4,1048576,1,1,262144,8.085501,14.886406,0,0,262144.000000,596.962550
