test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
omap,1,1,0,1,4,1048576,21,1,0,0,0,0.000000,0,0,0,3638.294355,25165800000.000000,0,593.057036
omap,1,1,0,1,4,1048576,21,1,1,0.089687,571147.200000,0,0.178136,1066560.000000,266639.000000,0,0,1.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,2,0,0,0,0.180378,1077120.000000,269279.000000,0,0,2.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,4,0,0,0,0.172642,1098720.000000,274679.000000,0,0,4.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,8,0,0,0,0.193547,1161600.000000,290399.000000,0,0,8.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,16,0,0,0,0.192170,1232160.000000,308039.000000,0,0,16.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,32,0,0,0,0.231013,1397760.000000,349439.000000,0,0,32.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,64,0,0,0,0.257497,1706880.000000,426719.000000,0,0,64.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,128,0,0,0,0.382725,2331360.000000,582839.000000,0,0,128.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,256,0,0,0,0.563719,3517440.000000,879359.000000,0,0,256.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,512,0,0,0,0.930954,5692800.000000,1423199.000000,0,0,512.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,1024,0,0,0,1.624844,9549600.000000,2387399.000000,0,0,1024.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,2048,0,0,0,2.895257,16560960.000000,4140239.000000,0,0,2048.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,4096,0,0,0,4.822984,28369440.000000,7092359.000000,0,0,4096.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,8192,0,0,0,8.642317,48573600.000000,12143399.000000,0,0,8192.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,16384,0,0,0,15.031802,81191040.000000,20297759.000000,0,0,16384.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,32768,0,0,0,25.711995,131600160.000000,32900039.000000,0,0,32768.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,65536,0,0,0,57.658274,203380800.000000,50845199.000000,0,0,65536.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,131072,0,0,0,100.772114,295224960.000000,73806239.000000,0,0,131072.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,262144,0,0,0,145.494958,392364480.000000,98091119.000000,0,0,262144.000000,593.057036
omap,1,1,0,1,4,1048576,21,1,524288,0,0,0,181.766107,466871040.000000,116717759.000000,0,0,524288.000000,593.057036
