test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,load_data,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
omap,1,1,0,1,4,1048576,21,1,0,0,0,0.000000,0,0,0,3963.672312,25165800000.000000,0,600.325598
omap,1,1,0,1,4,1048576,21,1,1,0.089836,570744.000000,0,0.165430,1059840.000000,264959.000000,0,0,1.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,2,0,0,0,0.157986,1092480.000000,273119.000000,0,0,2.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,4,0,0,0,0.180462,1098720.000000,274679.000000,0,0,4.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,8,0,0,0,0.189384,1146720.000000,286679.000000,0,0,8.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,16,0,0,0,0.202902,1226880.000000,306719.000000,0,0,16.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,32,0,0,0,0.232197,1394880.000000,348719.000000,0,0,32.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,64,0,0,0,0.291580,1713120.000000,428279.000000,0,0,64.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,128,0,0,0,0.383044,2340960.000000,585239.000000,0,0,128.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,256,0,0,0,0.581297,3509280.000000,877319.000000,0,0,256.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,512,0,0,0,0.930032,5655360.000000,1413839.000000,0,0,512.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,1024,0,0,0,1.527266,9631680.000000,2407919.000000,0,0,1024.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,2048,0,0,0,2.740653,16488480.000000,4122119.000000,0,0,2048.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,4096,0,0,0,5.058416,28413600.000000,7103399.000000,0,0,4096.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,8192,0,0,0,9.090178,48590880.000000,12147719.000000,0,0,8192.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,16384,0,0,0,18.934293,81059520.000000,20264879.000000,0,0,16384.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,32768,0,0,0,35.508559,131500320.000000,32875079.000000,0,0,32768.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,65536,0,0,0,61.481049,203424000.000000,50855999.000000,0,0,65536.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,131072,0,0,0,91.318796,295518720.000000,73879679.000000,0,0,131072.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,262144,0,0,0,145.746161,392424960.000000,98106239.000000,0,0,262144.000000,600.325598
omap,1,1,0,1,4,1048576,21,1,524288,0,0,0,176.983954,466899840.000000,116724959.000000,0,0,524288.000000,600.325598
