test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,37.403947,285212400.000000,0,791.471718
osm,1,1,0,1,4,1048576,21,1,1,0.000001,0.000000,0.197122,169184.000000,42295.000000,0,0,1.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,2,0.000009,0.000000,0.003376,10880.000000,2718.000000,0,0,2.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,4,0.000007,0.000000,0.019711,29920.000000,7476.000000,0,0,4.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,8,0.000063,0.000000,0.025678,64192.000000,16040.000000,0,0,8.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,16,0.000026,0.000000,0.027821,134912.000000,33712.000000,0,0,16.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,32,0.000067,0.000000,0.046952,256224.000000,64024.000000,0,0,32.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,64,0.000138,0.000000,0.060893,484160.000000,120976.000000,0,0,64.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,128,0.000323,0.000000,0.116740,912288.000000,227944.000000,0,0,128.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,256,0.000801,0.000000,0.236594,1682048.000000,420256.000000,0,0,256.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,512,0.001509,0.000000,0.441328,3080128.000000,769520.000000,0,0,512.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,1024,0.003591,0.000000,0.809866,5614624.000000,1402632.000000,0,0,1024.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,2048,0.008409,0.000000,1.792191,10167904.000000,2539928.000000,0,0,2048.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,4096,0.019868,0.000000,3.093710,18024896.000000,4502128.000000,0,0,4096.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,8192,0.048112,0.000000,5.245495,31653184.000000,7905104.000000,0,0,8192.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,16384,0.107363,0.000000,9.962883,54681792.000000,13654064.000000,0,0,16384.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,32768,0.256638,0.000000,18.769243,91515488.000000,22846104.000000,0,0,32768.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,65536,0.609270,0.000000,36.449636,148730144.000000,37117000.000000,0,0,65536.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,131072,3.618226,0.000000,64.446247,230401408.000000,57469280.000000,0,0,131072.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,262144,9.576415,0.000000,101.309464,334549120.000000,83375136.000000,0,0,262144.000000,791.471718
osm,1,1,0,1,4,1048576,21,1,524288,22.487031,0.000000,145.100368,444796704.000000,110674888.000000,0,0,524288.000000,791.471718
