test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,4,1048576,21,1,0,0,0,0,0,0,35.964110,285212400.000000,0,776.880580
osm,1,1,0,1,4,1048576,21,1,1,0.000003,0.000000,0.215697,168096.000000,42023.000000,0,0,1.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,2,0.000002,0.000000,0.002857,10880.000000,2718.000000,0,0,2.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,4,0.000005,0.000000,0.018504,31008.000000,7748.000000,0,0,4.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,8,0.000011,0.000000,0.012563,66368.000000,16584.000000,0,0,8.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,16,0.000024,0.000000,0.023886,134368.000000,33576.000000,0,0,16.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,32,0.000055,0.000000,0.037241,262752.000000,65656.000000,0,0,32.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,64,0.000119,0.000000,0.068138,481440.000000,120296.000000,0,0,64.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,128,0.000280,0.000000,0.112185,903040.000000,225632.000000,0,0,128.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,256,0.000652,0.000000,0.218219,1667904.000000,416720.000000,0,0,256.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,512,0.001476,0.000000,0.435680,3092096.000000,772512.000000,0,0,512.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,1024,0.003533,0.000000,0.852753,5628768.000000,1406168.000000,0,0,1024.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,2048,0.008262,0.000000,1.612088,10136352.000000,2532040.000000,0,0,2048.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,4096,0.019349,0.000000,3.025118,17975392.000000,4489752.000000,0,0,4096.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,8192,0.045709,0.000000,5.461430,31707584.000000,7918704.000000,0,0,8192.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,16384,0.107401,0.000000,10.230628,54516960.000000,13612856.000000,0,0,16384.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,32768,0.251096,0.000000,19.441621,91546496.000000,22853856.000000,0,0,32768.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,65536,0.584113,0.000000,32.418734,148738848.000000,37119176.000000,0,0,65536.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,131072,3.588124,0.000000,60.027012,230911680.000000,57596848.000000,0,0,131072.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,262144,9.177453,0.000000,99.111894,334779776.000000,83432800.000000,0,0,262144.000000,776.880580
osm,1,1,0,1,4,1048576,21,1,524288,22.304373,0.000000,149.836471,445124736.000000,110756896.000000,0,0,524288.000000,776.880580
