test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,0,0,0,110.365419,604355664.000000,0,492.988055
ofs,1,1,0,1,4,1048576,1,1,1,0.317757,3877440.000000,0.411361,6522240.000000,1630559.000000,0,0,1.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,2,0.309748,3886080.000000,0.425111,6512160.000000,1628038.000000,0,0,2.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,4,0.312551,3880320.000000,0.430043,6516960.000000,1629236.000000,0,0,4.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,8,0.297763,3876480.000000,0.394880,6549120.000000,1637272.000000,0,0,8.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,16,0.311020,3863040.000000,0.391927,6521280.000000,1630304.000000,0,0,16.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,32,0.323498,3891360.000000,0.389408,6479520.000000,1619848.000000,0,0,32.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,64,0.297593,3872160.000000,0.414125,6509280.000000,1627256.000000,0,0,64.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,128,0.316835,3883680.000000,0.403301,6484320.000000,1620952.000000,0,0,128.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,256,0.326726,3875520.000000,0.396920,6511200.000000,1627544.000000,0,0,256.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,512,0.301004,3896640.000000,0.393045,6528480.000000,1631608.000000,0,0,512.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,1024,0.301426,3863040.000000,0.425723,6506880.000000,1625696.000000,0,0,1024.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,2048,0.446855,6617760.000000,0.619790,11864640.000000,2964112.000000,0,0,2048.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,4096,0.694360,12063360.000000,1.089477,22662240.000000,5661464.000000,0,0,4096.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,8192,1.236653,23056800.000000,2.002185,44137440.000000,11026168.000000,0,0,8192.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,16384,2.277332,44923680.000000,3.922880,87105120.000000,21759896.000000,0,0,16384.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,32768,4.458491,88667520.000000,7.611136,173137440.000000,43251592.000000,0,0,32768.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,65536,8.733037,176272800.000000,14.997992,345190560.000000,86232104.000000,0,0,65536.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,131072,17.232154,351540960.000000,29.652096,689016480.000000,172123048.000000,0,0,131072.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,262144,33.171025,723946320.000000,61.275864,1376972640.000000,343981016.000000,0,0,262144.000000,492.988055
ofs,1,1,0,1,4,1048576,1,1,524288,64.905517,1402120800.000000,120.401327,2752664160.000000,687641752.000000,0,0,524288.000000,492.988055
