test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,1,1,0,0,0,0,0,0,105.184344,605854800.000000,0,1786.693160
ofs,1,1,0,1,4,1048576,1,1,1,0.340548,2623008.000000,0.439385,3941376.000000,985343.000000,0,0,1.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,2,0.332502,2625408.000000,0.439297,3930816.000000,982702.000000,0,0,2.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,4,0.344683,2619168.000000,0.455733,3914016.000000,978500.000000,0,0,4.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,8,0.312769,2615328.000000,0.434033,3939456.000000,984856.000000,0,0,8.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,16,0.329202,2618688.000000,0.441317,3960576.000000,990128.000000,0,0,16.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,32,0.334604,2635488.000000,0.442707,3936576.000000,984112.000000,0,0,32.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,64,0.320176,2619168.000000,0.459826,3943296.000000,985760.000000,0,0,64.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,128,0.324052,2626368.000000,0.450378,3954336.000000,988456.000000,0,0,128.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,256,0.336276,2616768.000000,0.441536,3962016.000000,990248.000000,0,0,256.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,512,0.469823,4105536.000000,0.726137,6755712.000000,1688416.000000,0,0,512.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,1024,0.775447,7048032.000000,1.235858,12398304.000000,3098552.000000,0,0,1024.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,2048,1.385221,13017024.000000,2.211048,23580768.000000,5893144.000000,0,0,2048.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,4096,2.627074,24842688.000000,4.231387,45985536.000000,11492288.000000,0,0,4096.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,8192,5.074818,48551616.000000,8.548214,90948192.000000,22728856.000000,0,0,8192.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,16384,9.819390,96031872.000000,16.826828,180680064.000000,45153632.000000,0,0,16384.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,32768,19.583833,190940544.000000,33.105423,360339168.000000,90052024.000000,0,0,32768.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,65536,39.155668,380727168.000000,65.678270,719594496.000000,179833088.000000,0,0,65536.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,131072,77.709838,760675296.000000,131.228106,1439922992.000000,359849676.000000,0,0,131072.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,262144,155.334877,1519299072.000000,265.256505,2874684384.000000,718408952.000000,0,0,262144.000000,1786.693160
ofs,1,1,0,1,4,1048576,1,1,524288,308.502809,3038297664.000000,525.040626,5747800128.000000,1436425744.000000,0,0,524288.000000,1786.693160
