test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,4,1048576,2,1,0,0,0,0,0,0,134.858237,605854800.000000,0,149.677437
ofs,1,1,0,1,4,1048576,2,1,1,0.377385,2608608.000000,0.456938,3950496.000000,987623.000000,0,0,1.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,2,0.339566,2624448.000000,0.421856,3949056.000000,987262.000000,0,0,2.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,4,0.314258,2630688.000000,0.453634,3932256.000000,983060.000000,0,0,4.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,8,0.312447,2623008.000000,0.414070,3954336.000000,988576.000000,0,0,8.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,16,0.300548,2616768.000000,0.418947,3950496.000000,987608.000000,0,0,16.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,32,0.301646,2606688.000000,0.420639,3947616.000000,986872.000000,0,0,32.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,64,0.297486,2634048.000000,0.411411,3952896.000000,988160.000000,0,0,64.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,128,0.294203,2617248.000000,0.410801,3941376.000000,985216.000000,0,0,128.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,256,0.303749,2635968.000000,0.413591,3955296.000000,988568.000000,0,0,256.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,512,0.321653,22106752.000000,0.344818,43088384.000000,10771584.000000,0,0,512.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,1024,0.359332,43070624.000000,0.350830,43104224.000000,10775032.000000,0,0,1024.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,2048,0.359375,43075424.000000,0.347912,43077824.000000,10767408.000000,0,0,2048.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,4096,0.395259,43082624.000000,0.370930,43082624.000000,10766560.000000,0,0,4096.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,8192,0.374970,43082624.000000,0.365596,43085984.000000,10763304.000000,0,0,8192.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,16384,0.385801,43089344.000000,0.356621,43073504.000000,10751992.000000,0,0,16384.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,32768,0.382708,43094144.000000,0.359058,43078304.000000,10736808.000000,0,0,32768.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,65536,0.398109,43079264.000000,0.374921,43073504.000000,10702840.000000,0,0,65536.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,131072,0.419426,43089344.000000,0.401759,43087424.000000,10640784.000000,0,0,131072.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,262144,0.369548,43075904.000000,0.356047,43079744.000000,10507792.000000,0,0,262144.000000,149.677437
ofs,1,1,0,1,4,1048576,2,1,524288,0.373157,43079744.000000,0.385488,43097984.000000,10250208.000000,0,0,524288.000000,149.677437
