test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,1,1,4,1048576,21,1,0,0,0,0,0,0,75.377606,285212400.000000,0,1143.066563
osm,0,0,1,1,4,1048576,21,1,1,0.000002,0.000000,0.240022,173536.000000,43383.000000,0,0,1.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,2,0.000010,0.000000,0.003713,10880.000000,2718.000000,0,0,2.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,4,0.000006,0.000000,0.008902,31008.000000,7748.000000,0,0,4.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,8,0.000012,0.000000,0.017336,64736.000000,16176.000000,0,0,8.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,16,0.000024,0.000000,0.035168,131104.000000,32760.000000,0,0,16.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,32,0.000055,0.000000,0.062095,254048.000000,63480.000000,0,0,32.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,64,0.000125,0.000000,0.122044,489600.000000,122336.000000,0,0,64.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,128,0.000301,0.000000,0.233616,913920.000000,228352.000000,0,0,128.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,256,0.000688,0.000000,0.429000,1672800.000000,417944.000000,0,0,256.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,512,0.001510,0.000000,0.831961,3094272.000000,773056.000000,0,0,512.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,1024,0.003609,0.000000,1.520286,5624416.000000,1405080.000000,0,0,1024.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,2048,0.008484,0.000000,2.881434,10118400.000000,2527552.000000,0,0,2048.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,4096,0.019787,0.000000,5.373321,18039584.000000,4505800.000000,0,0,4096.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,8192,0.046595,0.000000,9.812150,31742944.000000,7927544.000000,0,0,8192.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,16384,0.109068,0.000000,17.971733,54572448.000000,13626728.000000,0,0,16384.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,32768,0.291613,0.000000,31.963934,91715136.000000,22896016.000000,0,0,32768.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,65536,0.628300,0.000000,55.681276,148712192.000000,37112512.000000,0,0,65536.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,131072,3.439276,0.000000,94.814658,230366048.000000,57460440.000000,0,0,131072.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,262144,9.613840,0.000000,151.817329,334594816.000000,83386560.000000,0,0,262144.000000,1143.066563
osm,0,0,1,1,4,1048576,21,1,524288,22.388750,0.000000,219.567306,444839680.000000,110685632.000000,0,0,524288.000000,1143.066563
