test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,4,1048576,1,1,0,0,0,0,0,0,109.543510,604355664.000000,0,517.444250
ofs,0,1,1,1,4,1048576,1,1,1,0.335856,3882720.000000,0.448986,6506400.000000,1626599.000000,0,0,1.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,2,0.326724,3887520.000000,0.449439,6526080.000000,1631518.000000,0,0,2.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,4,0.303288,3879360.000000,0.430709,6505920.000000,1626476.000000,0,0,4.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,8,0.333593,3864480.000000,0.448874,6523200.000000,1630792.000000,0,0,8.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,16,0.313477,3877920.000000,0.430338,6531840.000000,1632944.000000,0,0,16.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,32,0.320868,3877920.000000,0.414990,6496320.000000,1624048.000000,0,0,32.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,64,0.327016,3898080.000000,0.427569,6521280.000000,1630256.000000,0,0,64.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,128,0.324409,3870720.000000,0.433769,6503040.000000,1625632.000000,0,0,128.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,256,0.326154,3880800.000000,0.418536,6512640.000000,1627904.000000,0,0,256.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,512,0.332462,3878880.000000,0.422424,6503040.000000,1625248.000000,0,0,512.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,1024,0.322081,3879840.000000,0.427625,6531360.000000,1631816.000000,0,0,1024.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,2048,0.446185,6613920.000000,0.669953,11892960.000000,2971192.000000,0,0,2048.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,4096,0.717065,12100800.000000,1.203981,22646400.000000,5657504.000000,0,0,4096.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,8192,1.291066,23041920.000000,2.227776,44109120.000000,11019088.000000,0,0,8192.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,16384,2.386917,44964960.000000,4.174057,87108960.000000,21760856.000000,0,0,16384.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,32768,4.518021,88631520.000000,8.217322,173161440.000000,43257592.000000,0,0,32768.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,65536,8.899064,176215680.000000,16.456555,345058560.000000,86199104.000000,0,0,65536.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,131072,17.772750,351487680.000000,32.395024,689072160.000000,172136968.000000,0,0,131072.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,262144,35.394900,701694720.000000,64.221928,1376826240.000000,343944416.000000,0,0,262144.000000,517.444250
ofs,0,1,1,1,4,1048576,1,1,524288,70.178460,1402416480.000000,128.407404,2752799520.000000,687675592.000000,0,0,524288.000000,517.444250
