test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,0,0,1,4,8388608,24,1,0,0,0,0,0,0,279.726762,2281701104.000000,0,4044.637885
osm,0,0,0,1,4,8388608,24,1,1,0.000003,0.000000,2.011604,213248.000000,53311.000000,0,0,1.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,2,0.000002,0.000000,0.003414,12512.000000,3126.000000,0,0,2.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,4,0.000011,0.000000,0.008169,34272.000000,8564.000000,0,0,4.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,8,0.000038,0.000000,0.014929,75072.000000,18760.000000,0,0,8.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,16,0.000073,0.000000,0.028648,157216.000000,39288.000000,0,0,16.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,32,0.000083,0.000000,0.046549,310624.000000,77624.000000,0,0,32.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,64,0.000166,0.000000,0.084216,589152.000000,147224.000000,0,0,64.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,128,0.000348,0.000000,0.167828,1094528.000000,273504.000000,0,0,128.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,256,0.000836,0.000000,0.318989,2098752.000000,524432.000000,0,0,256.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,512,0.001887,0.000000,0.570127,3900480.000000,974608.000000,0,0,512.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,1024,0.004476,0.000000,1.045508,7297216.000000,1823280.000000,0,0,1024.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,2048,0.010629,0.000000,1.986744,13462368.000000,3363544.000000,0,0,2048.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,4096,0.025038,0.000000,3.706192,24770496.000000,6188528.000000,0,0,4096.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,8192,0.059066,0.000000,7.214520,45065504.000000,11258184.000000,0,0,8192.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,16384,0.140693,0.000000,13.923184,81318752.000000,20313304.000000,0,0,16384.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,32768,0.335163,0.000000,26.669334,144720320.000000,36147312.000000,0,0,32768.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,65536,0.760159,0.000000,49.049229,253612256.000000,63337528.000000,0,0,65536.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,131072,5.746500,0.000000,91.216768,436412576.000000,108972072.000000,0,0,131072.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,262144,16.164846,0.000000,168.034570,733473024.000000,183106112.000000,0,0,262144.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,524288,33.378698,0.000000,294.427434,1189980416.000000,296970816.000000,0,0,524288.000000,4044.637885
osm,0,0,0,1,4,8388608,24,1,1048576,81.781551,0.000000,525.215792,1843453888.000000,459814896.000000,0,0,1048576.000000,4044.637885
