test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,0,1,0,1,4,8388608,1,1,0,0,0,0,0,0,1061.362718,4847017040.000000,0,6477.408448
ofs,0,1,0,1,4,8388608,1,1,1,0.504074,3671520.000000,0.673963,5496480.000000,1374119.000000,0,0,1.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,2,0.512257,3693600.000000,0.673036,5486400.000000,1371598.000000,0,0,2.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,4,0.480333,3667680.000000,0.680154,5509440.000000,1377356.000000,0,0,4.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,8,0.493107,3694080.000000,0.657138,5496480.000000,1374112.000000,0,0,8.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,16,0.489644,3685920.000000,0.676450,5508480.000000,1377104.000000,0,0,16.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,32,0.485110,3671520.000000,0.686818,5493600.000000,1373368.000000,0,0,32.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,64,0.495047,3671520.000000,0.674207,5472960.000000,1368176.000000,0,0,64.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,128,0.496502,3653280.000000,0.659576,5482080.000000,1370392.000000,0,0,128.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,256,0.493636,3678240.000000,0.678341,5505600.000000,1376144.000000,0,0,256.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,512,0.725192,5781600.000000,1.083686,9420960.000000,2354728.000000,0,0,512.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,1024,1.214538,9996000.000000,1.946560,17227680.000000,4305896.000000,0,0,1024.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,2048,2.184776,18295680.000000,3.663677,32905440.000000,8224312.000000,0,0,2048.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,4096,3.998323,35056320.000000,7.047173,64121760.000000,16026344.000000,0,0,4096.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,8192,7.702577,68724480.000000,13.787276,126774720.000000,31685488.000000,0,0,8192.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,16384,15.429461,135822240.000000,27.146791,251828160.000000,62940656.000000,0,0,16384.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,32768,30.941414,270129600.000000,54.743825,502270560.000000,125534872.000000,0,0,32768.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,65536,61.437844,538378560.000000,107.851239,1002780960.000000,250629704.000000,0,0,65536.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,131072,121.897477,1075243680.000000,216.829604,2005836080.000000,501327948.000000,0,0,131072.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,262144,244.388474,2149340640.000000,432.560759,4007094240.000000,1001511416.000000,0,0,262144.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,524288,487.311502,4297193280.000000,863.748135,8015291720.000000,2003298642.000000,0,0,524288.000000,6477.408448
ofs,0,1,0,1,4,8388608,1,1,1048576,967.412211,8593870160.000000,1730.479225,16031072560.000000,4006719564.000000,0,0,1048576.000000,6477.408448
