test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,1024,8388608,10,4096,0,0,0,0,0,0,1502.767005,73278225488.000000,0,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,1,1.645390,222577920.000000,2.379313,443384160.000000,432991.000000,0,0,1.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,2,1.578199,222591360.000000,2.351799,443365920.000000,432972.000000,0,0,2.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,4,1.601856,222552480.000000,2.435969,443399040.000000,433002.000000,0,0,4.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,8,1.584095,222578400.000000,2.340725,443372160.000000,432972.000000,0,0,8.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,16,1.562877,222570720.000000,2.415618,443380320.000000,432972.000000,0,0,16.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,32,1.598394,222584640.000000,2.344751,443373600.000000,432950.000000,0,0,32.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,64,1.622678,222558720.000000,2.339270,443389440.000000,432933.000000,0,0,64.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,128,1.589482,222572640.000000,2.372317,443361120.000000,432841.000000,0,0,128.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,256,1.568234,222582240.000000,2.349810,443372640.000000,432725.000000,0,0,256.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,512,1.571033,222589920.000000,2.352337,443390400.000000,432486.000000,0,0,512.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,1024,1.581978,222578400.000000,2.421393,443391840.000000,431975.000000,0,0,1024.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,2048,2.581694,443563680.000000,4.443704,885187200.000000,862392.000000,0,0,2048.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,4096,4.671557,885601920.000000,7.741383,1768744800.000000,1723193.000000,0,0,4096.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,8192,8.849426,1769568960.000000,14.953638,3535945440.000000,3444879.000000,0,0,8192.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,16384,17.237802,3537510720.000000,29.281161,7070367840.000000,6888272.000000,0,0,16384.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,32768,30.907790,7073462400.000000,58.058206,14139111840.000000,13774958.000000,0,0,32768.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,65536,60.579272,14145533760.000000,115.642770,28276759680.000000,27548487.000000,0,0,65536.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,131072,121.256397,28289323680.000000,230.787139,56552112000.000000,55095599.000000,0,0,131072.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,262144,241.478713,56577303360.000000,461.584408,113102174880.000000,110189198.000000,0,0,262144.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,524288,483.624078,113153076960.000000,920.605478,226202191200.000000,220376289.000000,0,0,524288.000000,7181.259657
ofs,1,1,0,1,1024,8388608,10,4096,1048576,971.149472,226938599600.000000,1849.322634,453671424640.000000,441989924.000000,0,0,1048576.000000,7181.259657
