test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,1048576,21,1,0,0,0,0,315.538464,805305600.000000,0,3302.909904
osm,0,1,1,1,128,1048576,21,1,1,0,1.819465,1830912.000000,0,0,1.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,2,0,2.635846,3350016.000000,0,0,2.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,4,0,5.052527,6163968.000000,0,0,4.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,8,0,8.418584,11383296.000000,0,0,8.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,16,0,15.968479,20550144.000000,0,0,16.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,32,0,25.211528,36953088.000000,0,0,32.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,64,0,40.441940,65854464.000000,0,0,64.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,128,1.729988,63.236395,114092544.000000,0,0,128.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,256,0,94.424371,194517504.000000,0,0,256.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,512,1.787787,128.053585,321776640.000000,0,0,512.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,1024,1.457446,171.309763,513584640.000000,0,0,1024.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,2048,0,227.818522,773890560.000000,0,0,2048.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,4096,1.565359,315.758274,1085426688.000000,0,0,4096.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,8192,0,412.457402,1376145408.000000,0,0,8192.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,16384,0,472.354217,1555603968.000000,0,0,16384.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,32768,0,496.085362,1607161344.000000,0,0,32768.000000,3302.909904
osm,0,1,1,1,128,1048576,21,1,65536,0,499.742401,1610601984.000000,0,0,65536.000000,3302.909904
