test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,4194304,1,1,0,0,0,1995.769759,6577454160.000000,0,2903.912357
ofs,1,1,0,1,128,4194304,1,1,1,0.226167,1.470847,0,0,1.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,2,0.030722,1.579227,0,0,2.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,4,0.040016,1.521953,0,0,4.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,8,0.028312,1.469978,0,0,8.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,16,0.028665,1.554468,0,0,16.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,32,0.027715,1.555651,0,0,32.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,64,0.028346,1.603251,0,0,64.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,128,0.034136,1.513830,0,0,128.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,256,0.025614,1.501638,0,0,256.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,512,0.027941,1.452799,0,0,512.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,1024,0.027380,1.550910,0,0,1024.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,2048,0.061119,2.227310,0,0,2048.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,4096,0.114956,3.589345,0,0,4096.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,8192,0.224011,6.208889,0,0,8192.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,16384,0.478592,10.088142,0,0,16384.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,32768,0.923969,17.540610,0,0,32768.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,65536,1.927207,31.917674,0,0,65536.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,131072,3.695899,55.728352,0,0,131072.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,262144,6.794582,98.528073,0,0,262144.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,524288,13.422092,175.159420,0,0,524288.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,1048576,25.595130,0,0,0,1048576.000000,2903.912357
ofs,1,1,0,1,128,4194304,1,1,2097152,51.605773,0,0,0,2097152.000000,2903.912357
